;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,3889729;
4499,3710;0,3888661;
4499,1298;0,3887992;
4498,8887;0,3888164;
4498,6476;0,3889083;
4498,4065;0,3889573;
4498,1654;0,3889245;
4497,9243;0,3888699;
4497,6832;0,3888253;
4497,4421;0,3888236;
4497,2010;0,3888297;
4496,9598;0,388792;
4496,7187;0,3887797;
4496,4776;0,3888283;
4496,2365;0,3888896;
4495,9954;0,3889236;
4495,7543;0,3888988;
4495,5132;0,3888619;
4495,2721;0,3889019;
4495,0310;0,3889685;
4494,7899;0,3889431;
4494,5487;0,3888444;
4494,3076;0,3887702;
4494,0665;0,3887783;
4493,8254;0,3888475;
4493,5843;0,3888941;
4493,3432;0,388888;
4493,1021;0,3888665;
4492,8610;0,3888401;
4492,6199;0,3888045;
4492,3787;0,3888357;
4492,1376;0,3889676;
4491,8965;0,3890395;
4491,6554;0,3889607;
4491,4143;0,3888499;
4491,1732;0,3888007;
4490,9321;0,3888286;
4490,6910;0,3889059;
4490,4499;0,3889439;
4490,2087;0,388911;
4489,9676;0,3888645;
4489,7265;0,3888194;
4489,4854;0,3887609;
4489,2443;0,3887341;
4489,0032;0,3887803;
4488,7621;0,3888535;
4488,5210;0,3888604;
4488,2799;0,388777;
4488,0387;0,3886899;
4487,7976;0,3886683;
4487,5565;0,3886964;
4487,3154;0,3887267;
4487,0743;0,3887219;
4486,8332;0,3887063;
4486,5921;0,3887153;
4486,3510;0,3887406;
4486,1099;0,388799;
4485,8687;0,3889014;
4485,6276;0,388958;
4485,3865;0,3888898;
4485,1454;0,3887893;
4484,9043;0,3887619;
4484,6632;0,3887688;
4484,4221;0,3887658;
4484,1810;0,3887473;
4483,9399;0,3886821;
4483,6987;0,3885998;
4483,4576;0,3885885;
4483,2165;0,388649;
4482,9754;0,3886851;
4482,7343;0,3886694;
4482,4932;0,3887181;
4482,2521;0,388842;
4482,0110;0,3888735;
4481,7699;0,3887907;
4481,5287;0,3887265;
4481,2876;0,3887235;
4481,0465;0,3887353;
4480,8054;0,3886956;
4480,5643;0,3886212;
4480,3232;0,3886243;
4480,0821;0,3886982;
4479,8410;0,38871;
4479,5999;0,3886517;
4479,3588;0,3886343;
4479,1176;0,3886531;
4478,8765;0,388632;
4478,6354;0,3885952;
4478,3943;0,3886091;
4478,1532;0,3886735;
4477,9121;0,3887069;
4477,6710;0,38865;
4477,4299;0,3885498;
4477,1888;0,3884903;
4476,9476;0,3885277;
4476,7065;0,3886106;
4476,4654;0,3886338;
4476,2243;0,388624;
4475,9832;0,3886166;
4475,7421;0,3885861;
4475,5010;0,3885848;
4475,2599;0,3886105;
4475,0188;0,3885754;
4474,7776;0,3884959;
4474,5365;0,3884478;
4474,2954;0,3884577;
4474,0543;0,3885185;
4473,8132;0,388565;
4473,5721;0,3885275;
4473,3310;0,3884716;
4473,0899;0,3884815;
4472,8488;0,388513;
4472,6076;0,3885171;
4472,3665;0,3885066;
4472,1254;0,3885156;
4471,8843;0,3885543;
4471,6432;0,388569;
4471,4021;0,3885538;
4471,1610;0,3885504;
4470,9199;0,3885212;
4470,6788;0,3884747;
4470,4376;0,3885014;
4470,1965;0,3885892;
4469,9554;0,3886362;
4469,7143;0,3885928;
4469,4732;0,3885066;
4469,2321;0,3884361;
4468,9910;0,3884114;
4468,7499;0,3884355;
4468,5088;0,3884409;
4468,2676;0,388422;
4468,0265;0,3884473;
4467,7854;0,3884832;
4467,5443;0,3884843;
4467,3032;0,3884955;
4467,0621;0,3885544;
4466,8210;0,3886176;
4466,5799;0,3886009;
4466,3388;0,3885062;
4466,0977;0,3884445;
4465,8565;0,3884745;
4465,6154;0,3885186;
4465,3743;0,3885159;
4465,1332;0,3885019;
4464,8921;0,3884859;
4464,6510;0,3884658;
4464,4099;0,3884871;
4464,1688;0,3885147;
4463,9277;0,3884624;
4463,6865;0,3883623;
4463,4454;0,388296;
4463,2043;0,3882792;
4462,9632;0,3882775;
4462,7221;0,3882925;
4462,4810;0,3883678;
4462,2399;0,3884398;
4461,9988;0,3884451;
4461,7577;0,3884556;
4461,5165;0,3884827;
4461,2754;0,3884768;
4461,0343;0,3884241;
4460,7932;0,3882983;
4460,5521;0,3881735;
4460,3110;0,3881929;
4460,0699;0,3883041;
4459,8288;0,3883519;
4459,5877;0,3883466;
4459,3465;0,3883559;
4459,1054;0,3883399;
4458,8643;0,3882867;
4458,6232;0,3882841;
4458,3821;0,3883705;
4458,1410;0,3884684;
4457,8999;0,3884896;
4457,6588;0,3884414;
4457,4177;0,388405;
4457,1765;0,3883899;
4456,9354;0,3883263;
4456,6943;0,3882632;
4456,4532;0,3883186;
4456,2121;0,3884323;
4455,9710;0,3884533;
4455,7299;0,3884231;
4455,4888;0,3884549;
4455,2477;0,3884819;
4455,0065;0,3884461;
4454,7654;0,3884212;
4454,5243;0,3884207;
4454,2832;0,3884199;
4454,0421;0,3884213;
4453,8010;0,3884031;
4453,5599;0,3883635;
4453,3188;0,3883407;
4453,0777;0,3883466;
4452,8365;0,3883324;
4452,5954;0,3882749;
4452,3543;0,3882479;
4452,1132;0,3882898;
4451,8721;0,3882981;
4451,6310;0,3882236;
4451,3899;0,3882083;
4451,1488;0,3883395;
4450,9077;0,3884695;
4450,6666;0,3884516;
4450,4254;0,3883709;
4450,1843;0,3883825;
4449,9432;0,3884171;
4449,7021;0,3883479;
4449,4610;0,3882723;
4449,2199;0,3882702;
4448,9788;0,388277;
4448,7377;0,3882632;
4448,4966;0,388224;
4448,2554;0,3881859;
4448,0143;0,3881818;
4447,7732;0,3881762;
4447,5321;0,3881782;
4447,2910;0,3882308;
4447,0499;0,3882863;
4446,8088;0,3882637;
4446,5677;0,3882003;
4446,3266;0,3882113;
4446,0854;0,3882698;
4445,8443;0,38826;
4445,6032;0,3881978;
4445,3621;0,3881523;
4445,1210;0,3881091;
4444,8799;0,3880743;
