;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,3485957;
4499,3710;0,3486764;
4499,1298;0,3486839;
4498,8887;0,3486435;
4498,6476;0,3485699;
4498,4065;0,3484552;
4498,1654;0,3483824;
4497,9243;0,3484414;
4497,6832;0,3485449;
4497,4421;0,3485633;
4497,2010;0,3485042;
4496,9598;0,3484271;
4496,7187;0,3483617;
4496,4776;0,3483185;
4496,2365;0,3483171;
4495,9954;0,348403;
4495,7543;0,3485472;
4495,5132;0,3485913;
4495,2721;0,3485064;
4495,0310;0,3484277;
4494,7899;0,3483935;
4494,5487;0,3483717;
4494,3076;0,3483146;
4494,0665;0,3482012;
4493,8254;0,3481347;
4493,5843;0,3481633;
4493,3432;0,3481733;
4493,1021;0,3481216;
4492,8610;0,3481016;
4492,6199;0,3481466;
4492,3787;0,3482098;
4492,1376;0,3482674;
4491,8965;0,3483225;
4491,6554;0,3483222;
4491,4143;0,3482224;
4491,1732;0,348122;
4490,9321;0,3480796;
4490,6910;0,3480596;
4490,4499;0,3480894;
4490,2087;0,3481809;
4489,9676;0,3482573;
4489,7265;0,348255;
4489,4854;0,3482363;
4489,2443;0,3482382;
4489,0032;0,3481832;
4488,7621;0,3480945;
4488,5210;0,3480263;
4488,2799;0,3479716;
4488,0387;0,347958;
4487,7976;0,3479705;
4487,5565;0,3479441;
4487,3154;0,347863;
4487,0743;0,3477889;
4486,8332;0,3478034;
4486,5921;0,3478866;
4486,3510;0,3479016;
4486,1099;0,3477716;
4485,8687;0,3476002;
4485,6276;0,3475249;
4485,3865;0,3475741;
4485,1454;0,3476829;
4484,9043;0,3477435;
4484,6632;0,3477102;
4484,4221;0,3476501;
4484,1810;0,3476482;
4483,9399;0,3476937;
4483,6987;0,3476845;
4483,4576;0,3476122;
4483,2165;0,3475978;
4482,9754;0,3476263;
4482,7343;0,3475755;
4482,4932;0,3474985;
4482,2521;0,3474947;
4482,0110;0,3475362;
4481,7699;0,3476086;
4481,5287;0,3476892;
4481,2876;0,3476762;
4481,0465;0,3475561;
4480,8054;0,3474516;
4480,5643;0,3474053;
4480,3232;0,3473255;
4480,0821;0,3472221;
4479,8410;0,3472125;
4479,5999;0,3472933;
4479,3588;0,3473587;
4479,1176;0,3473834;
4478,8765;0,3474258;
4478,6354;0,347461;
4478,3943;0,3474178;
4478,1532;0,3473558;
4477,9121;0,347356;
4477,6710;0,3473823;
4477,4299;0,3473919;
4477,1888;0,3473917;
4476,9476;0,3473717;
4476,7065;0,3473349;
4476,4654;0,3472973;
4476,2243;0,3472067;
4475,9832;0,3470592;
4475,7421;0,3469731;
4475,5010;0,3470204;
4475,2599;0,3471405;
4475,0188;0,3472105;
4474,7776;0,3471774;
4474,5365;0,3471036;
4474,2954;0,3470632;
4474,0543;0,347057;
4473,8132;0,3470273;
4473,5721;0,3469829;
4473,3310;0,347005;
4473,0899;0,3470662;
4472,8488;0,3470492;
4472,6076;0,3469499;
4472,3665;0,3468877;
4472,1254;0,3468733;
4471,8843;0,3467862;
4471,6432;0,346704;
4471,4021;0,3468104;
4471,1610;0,3469936;
4470,9199;0,3470217;
4470,6788;0,3469003;
4470,4376;0,3467844;
4470,1965;0,3467276;
4469,9554;0,3466841;
4469,7143;0,3466536;
4469,4732;0,3466421;
4469,2321;0,3466045;
4468,9910;0,3465612;
4468,7499;0,3465763;
4468,5088;0,3466135;
4468,2676;0,3466346;
4468,0265;0,3466766;
4467,7854;0,3467375;
4467,5443;0,346744;
4467,3032;0,3466444;
4467,0621;0,3465444;
4466,8210;0,3465821;
4466,5799;0,3466757;
4466,3388;0,3466762;
4466,0977;0,3466021;
4465,8565;0,3465334;
4465,6154;0,3464952;
4465,3743;0,3465009;
4465,1332;0,3465186;
4464,8921;0,3465246;
4464,6510;0,3465739;
4464,4099;0,3466324;
4464,1688;0,3466159;
4463,9277;0,3465475;
4463,6865;0,3464624;
4463,4454;0,3463866;
4463,2043;0,3463637;
4462,9632;0,346388;
4462,7221;0,3464161;
4462,4810;0,3464354;
4462,2399;0,3464497;
4461,9988;0,346442;
4461,7577;0,3463872;
4461,5165;0,3463057;
4461,2754;0,3462615;
4461,0343;0,3462366;
4460,7932;0,346172;
4460,5521;0,346099;
4460,3110;0,3460556;
4460,0699;0,3460588;
4459,8288;0,3460971;
4459,5877;0,3460907;
4459,3465;0,3460387;
4459,1054;0,3460352;
4458,8643;0,3460823;
4458,6232;0,3461169;
4458,3821;0,346121;
4458,1410;0,3460929;
4457,8999;0,346042;
4457,6588;0,3459881;
4457,4177;0,3459403;
4457,1765;0,3459038;
4456,9354;0,3458692;
4456,6943;0,3458371;
4456,4532;0,3458478;
4456,2121;0,3459139;
4455,9710;0,3459722;
4455,7299;0,345969;
4455,4888;0,3459139;
4455,2477;0,3458301;
4455,0065;0,3457559;
4454,7654;0,3457248;
4454,5243;0,345728;
4454,2832;0,3457422;
4454,0421;0,345747;
4453,8010;0,3457532;
4453,5599;0,3457855;
4453,3188;0,345819;
4453,0777;0,3458363;
4452,8365;0,34587;
4452,5954;0,3458836;
4452,3543;0,3458197;
4452,1132;0,3457559;
4451,8721;0,345753;
4451,6310;0,3457591;
4451,3899;0,3457553;
4451,1488;0,3457358;
4450,9077;0,3456712;
4450,6666;0,345592;
4450,4254;0,3455494;
4450,1843;0,3455931;
4449,9432;0,3457059;
4449,7021;0,3457382;
4449,4610;0,3456639;
4449,2199;0,3456027;
4448,9788;0,3455693;
4448,7377;0,3455516;
4448,4966;0,3455408;
4448,2554;0,345492;
4448,0143;0,3454168;
4447,7732;0,3453209;
4447,5321;0,3452058;
4447,2910;0,345171;
4447,0499;0,3452898;
4446,8088;0,3454543;
4446,5677;0,3454837;
4446,3266;0,3453513;
4446,0854;0,3451947;
4445,8443;0,345131;
4445,6032;0,345145;
4445,3621;0,3451734;
4445,1210;0,3452147;
4444,8799;0,3452855;
4444,6388;0,345346;
4444,3977;0,3453589;
4444,1566;0,3453275;
4443,9154;0,3452447;
4443,6743;0,3451539;
4443,4332;0,3451453;
4443,1921;0,3451972;
4442,9510;0,3452227;
4442,7099;0,3452126;
4442,4688;0,3451958;
4442,2277;0,3451715;
4441,9866;0,3451411;
4441,7454;0,3451269;
4441,5043;0,3451353;
4441,2632;0,3451535;
4441,0221;0,3451528;
4440,7810;0,3451019;
4440,5399;0,3450277;
4440,2988;0,3449926;
4440,0577;0,3449697;
4439,8166;0,3448682;
4439,5754;0,3447366;
4439,3343;0,3447271;
4439,0932;0,3448133;
4438,8521;0,3448636;
4438,6110;0,344871;
4438,3699;0,3448567;
4438,1288;0,3448242;
4437,8877;0,344811;
4437,6466;0,3448132;
4437,4055;0,3447613;
4437,1643;0,3446361;
4436,9232;0,3445718;
4436,6821;0,3446813;
4436,4410;0,3448365;
4436,1999;0,3448249;
4435,9588;0,3446486;
4435,7177;0,3445151;
4435,4766;0,3445458;
4435,2355;0,3446528;
4434,9943;0,3446643;
4434,7532;0,34457;
4434,5121;0,344553;
4434,2710;0,3446338;
4434,0299;0,3446823;
4433,7888;0,3446907;
4433,5477;0,3446704;
4433,3066;0,3446176;
4433,0655;0,3445807;
4432,8243;0,3445686;
4432,5832;0,3445402;
4432,3421;0,3444944;
4432,1010;0,3444786;
4431,8599;0,3444792;
4431,6188;0,3444324;
4431,3777;0,3443424;
4431,1366;0,3442764;
4430,8955;0,3443003;
4430,6543;0,3443688;
4430,4132;0,3443503;
4430,1721;0,3442757;
4429,9310;0,3442838;
4429,6899;0,3443429;
4429,4488;0,3443419;
4429,2077;0,344301;
4428,9666;0,3443249;
4428,7255;0,3443656;
4428,4843;0,3442762;
4428,2432;0,3441608;
4428,0021;0,3441841;
4427,7610;0,3442537;
4427,5199;0,3442741;
4427,2788;0,3442658;
4427,0377;0,3442358;
4426,7966;0,3441792;
4426,5555;0,3441196;
4426,3143;0,3440879;
4426,0732;0,3440832;
4425,8321;0,3441036;
4425,5910;0,3441122;
4425,3499;0,3440623;
4425,1088;0,3440166;
4424,8677;0,3440615;
4424,6266;0,344152;
4424,3855;0,3441454;
4424,1443;0,3440341;
4423,9032;0,3439821;
4423,6621;0,3440311;
4423,4210;0,3440815;
4423,1799;0,344083;
4422,9388;0,344023;
4422,6977;0,3439302;
4422,4566;0,3438709;
4422,2155;0,343859;
4421,9744;0,3438846;
4421,7332;0,343936;
4421,4921;0,343969;
4421,2510;0,3439586;
4421,0099;0,3439211;
4420,7688;0,3438917;
4420,5277;0,3438725;
4420,2866;0,3438198;
4420,0455;0,3437535;
4419,8044;0,3437367;
4419,5632;0,3437566;
4419,3221;0,3437613;
4419,0810;0,343715;
4418,8399;0,3436484;
4418,5988;0,3436447;
4418,3577;0,3437043;
4418,1166;0,3437651;
4417,8755;0,3438078;
4417,6344;0,3438272;
4417,3932;0,3437758;
4417,1521;0,3436419;
4416,9110;0,3435602;
4416,6699;0,3436022;
4416,4288;0,3436259;
4416,1877;0,3435571;
4415,9466;0,3434585;
4415,7055;0,3433796;
4415,4644;0,3433856;
4415,2232;0,3435197;
4414,9821;0,3436636;
4414,7410;0,3436553;
4414,4999;0,3435368;
4414,2588;0,3434472;
4414,0177;0,343411;
4413,7766;0,3433964;
4413,5355;0,3434011;
4413,2944;0,3434453;
4413,0532;0,3434881;
4412,8121;0,343445;
4412,5710;0,3433496;
4412,3299;0,3432742;
4412,0888;0,3432219;
4411,8477;0,343234;
4411,6066;0,3432969;
4411,3655;0,3432881;
4411,1244;0,3432117;
4410,8832;0,3431679;
4410,6421;0,3431493;
4410,4010;0,343138;
4410,1599;0,3432029;
4409,9188;0,3433195;
4409,6777;0,3433498;
4409,4366;0,3433023;
4409,1955;0,343277;
4408,9544;0,343233;
4408,7133;0,3431468;
4408,4721;0,3431124;
4408,2310;0,3431302;
4407,9899;0,343122;
4407,7488;0,3430898;
4407,5077;0,3430772;
4407,2666;0,3430654;
4407,0255;0,3430271;
4406,7844;0,343034;
4406,5433;0,3430933;
4406,3021;0,343087;
4406,0610;0,3430155;
4405,8199;0,3429483;
4405,5788;0,3429;
4405,3377;0,3429208;
4405,0966;0,3430148;
4404,8555;0,3430414;
4404,6144;0,3429503;
4404,3733;0,3428804;
4404,1321;0,3428976;
4403,8910;0,3429711;
4403,6499;0,3430348;
4403,4088;0,3429838;
4403,1677;0,3428699;
4402,9266;0,3428035;
4402,6855;0,34277;
4402,4444;0,3427551;
4402,2033;0,342751;
4401,9621;0,3427279;
4401,7210;0,3426889;
4401,4799;0,3426464;
4401,2388;0,3426332;
4400,9977;0,3426483;
4400,7566;0,3426458;
4400,5155;0,3426598;
4400,2744;0,342728;
4400,0333;0,3427807;
4399,7921;0,3427482;
4399,5510;0,3426769;
4399,3099;0,3426453;
4399,0688;0,3426055;
4398,8277;0,3425149;
4398,5866;0,3424512;
4398,3455;0,3424695;
4398,1044;0,3425196;
4397,8633;0,342522;
4397,6221;0,342496;
4397,3810;0,3424754;
4397,1399;0,3424213;
4396,8988;0,3423723;
4396,6577;0,3423962;
4396,4166;0,3424636;
4396,1755;0,342534;
4395,9344;0,3425736;
4395,6933;0,342556;
4395,4521;0,3425076;
4395,2110;0,3424586;
4394,9699;0,3424269;
4394,7288;0,3424253;
4394,4877;0,3424214;
4394,2466;0,3424001;
4394,0055;0,3423852;
4393,7644;0,342395;
4393,5233;0,3424667;
4393,2822;0,3425663;
4393,0410;0,3425547;
4392,7999;0,3424228;
4392,5588;0,3423253;
4392,3177;0,3423035;
4392,0766;0,3422964;
4391,8355;0,3423085;
4391,5944;0,3423382;
4391,3533;0,3423468;
4391,1122;0,3423012;
4390,8710;0,3422299;
4390,6299;0,3422303;
4390,3888;0,3422869;
4390,1477;0,3422887;
4389,9066;0,3422363;
4389,6655;0,3422053;
4389,4244;0,3422058;
4389,1833;0,3422023;
4388,9422;0,3421834;
4388,7010;0,3421344;
4388,4599;0,3420603;
4388,2188;0,3419905;
4387,9777;0,3419389;
4387,7366;0,3419412;
4387,4955;0,3419774;
4387,2544;0,3419802;
4387,0133;0,3419688;
4386,7722;0,3419672;
4386,5310;0,3419678;
4386,2899;0,3419645;
4386,0488;0,3419391;
4385,8077;0,3419011;
4385,5666;0,3418498;
4385,3255;0,3418021;
4385,0844;0,3418227;
4384,8433;0,3418789;
4384,6022;0,3418793;
4384,3610;0,341827;
4384,1199;0,3417633;
4383,8788;0,3417148;
4383,6377;0,3417092;
4383,3966;0,3417315;
4383,1555;0,3417232;
4382,9144;0,3416923;
4382,6733;0,3417144;
4382,4322;0,3417599;
4382,1910;0,3417489;
4381,9499;0,3417218;
4381,7088;0,3417498;
4381,4677;0,3418278;
4381,2266;0,3418852;
4380,9855;0,3418497;
4380,7444;0,3417516;
4380,5033;0,3416959;
4380,2622;0,3417005;
4380,0211;0,3417028;
4379,7799;0,3416905;
4379,5388;0,3416643;
4379,2977;0,3416277;
4379,0566;0,3416192;
4378,8155;0,3416087;
4378,5744;0,3415554;
4378,3333;0,3415124;
4378,0922;0,3415151;
4377,8511;0,3415239;
4377,6099;0,3415141;
