;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,06143007;
4499,3710;0,0614706;
4499,1298;0,06153815;
4498,8887;0,06157093;
4498,6476;0,06155121;
4498,4065;0,06150462;
4498,1654;0,06146344;
4497,9243;0,06146702;
4497,6832;0,06151313;
4497,4421;0,06155217;
4497,2010;0,06158021;
4496,9598;0,06162355;
4496,7187;0,06165837;
4496,4776;0,06164384;
4496,2365;0,06159315;
4495,9954;0,06154298;
4495,7543;0,06151342;
4495,5132;0,06149383;
4495,2721;0,06147993;
4495,0310;0,06148801;
4494,7899;0,06149565;
4494,5487;0,06148739;
4494,3076;0,06147081;
4494,0665;0,06143699;
4493,8254;0,06139089;
4493,5843;0,06135881;
4493,3432;0,06135076;
4493,1021;0,06133961;
4492,8610;0,06132133;
4492,6199;0,0613264;
4492,3787;0,06134551;
4492,1376;0,06135162;
4491,8965;0,06135159;
4491,6554;0,06136534;
4491,4143;0,0614004;
4491,1732;0,06145154;
4490,9321;0,06149589;
4490,6910;0,06151474;
4490,4499;0,06151855;
4490,2087;0,06151608;
4489,9676;0,06149982;
4489,7265;0,06147749;
4489,4854;0,06148989;
4489,2443;0,06153165;
4489,0032;0,06154095;
4488,7621;0,06151101;
4488,5210;0,06146093;
4488,2799;0,06141048;
4488,0387;0,06140476;
4487,7976;0,06143944;
4487,5565;0,06145124;
4487,3154;0,06139226;
4487,0743;0,06130372;
4486,8332;0,06125614;
4486,5921;0,06125128;
4486,3510;0,06125975;
4486,1099;0,06126153;
4485,8687;0,06126532;
4485,6276;0,06129901;
4485,3865;0,06134602;
4485,1454;0,06136936;
4484,9043;0,06136588;
4484,6632;0,06133612;
4484,4221;0,06129707;
4484,1810;0,06130109;
4483,9399;0,06133218;
4483,6987;0,06131299;
4483,4576;0,0612621;
4483,2165;0,06127283;
4482,9754;0,0613233;
4482,7343;0,06129871;
4482,4932;0,06122022;
4482,2521;0,06119984;
4482,0110;0,06126031;
4481,7699;0,06133806;
4481,5287;0,06134351;
4481,2876;0,06127292;
4481,0465;0,06121763;
4480,8054;0,06121459;
4480,5643;0,06122231;
4480,3232;0,06121489;
4480,0821;0,06120488;
4479,8410;0,06118509;
4479,5999;0,06116142;
4479,3588;0,06118002;
4479,1176;0,06122297;
4478,8765;0,06124017;
4478,6354;0,0612537;
4478,3943;0,06126356;
4478,1532;0,0612263;
4477,9121;0,06119111;
4477,6710;0,06120845;
4477,4299;0,06121215;
4477,1888;0,0611746;
4476,9476;0,06113943;
4476,7065;0,06113186;
4476,4654;0,06116947;
4476,2243;0,06120178;
4475,9832;0,06116917;
4475,7421;0,06113609;
4475,5010;0,06115353;
4475,2599;0,06116211;
4475,0188;0,06113258;
4474,7776;0,06110359;
4474,5365;0,0611004;
4474,2954;0,06110481;
4474,0543;0,06110064;
4473,8132;0,06110716;
4473,5721;0,06111667;
4473,3310;0,06111175;
4473,0899;0,06111211;
4472,8488;0,06109816;
4472,6076;0,06105925;
4472,3665;0,06107418;
4472,1254;0,06114521;
4471,8843;0,06116157;
4471,6432;0,06112832;
4471,4021;0,06114092;
4471,1610;0,06118318;
4470,9199;0,06119018;
4470,6788;0,06115719;
4470,4376;0,06111303;
4470,1965;0,06108097;
4469,9554;0,06106616;
4469,7143;0,0610653;
4469,4732;0,0610473;
4469,2321;0,06099419;
4468,9910;0,06095243;
4468,7499;0,060947;
4468,5088;0,06095564;
4468,2676;0,0609857;
4468,0265;0,06104221;
4467,7854;0,06106819;
4467,5443;0,06102901;
4467,3032;0,06097744;
4467,0621;0,06095495;
4466,8210;0,06096243;
4466,5799;0,06100372;
4466,3388;0,06104251;
4466,0977;0,06103512;
4465,8565;0,06098683;
4465,6154;0,06092008;
4465,3743;0,06087999;
4465,1332;0,06088627;
4464,8921;0,06091046;
4464,6510;0,06095177;
4464,4099;0,06100363;
4464,1688;0,06104257;
4463,9277;0,06105839;
4463,6865;0,06104161;
4463,4454;0,06103399;
4463,2043;0,06105439;
4462,9632;0,06105863;
4462,7221;0,06105249;
4462,4810;0,06103086;
4462,2399;0,06096654;
4461,9988;0,06089908;
4461,7577;0,06086453;
4461,5165;0,06085792;
4461,2754;0,0608567;
4461,0343;0,06084232;
4460,7932;0,06084705;
4460,5521;0,06089244;
4460,3110;0,06093946;
4460,0699;0,06095582;
4459,8288;0,06093276;
4459,5877;0,06089566;
4459,3465;0,06090134;
4459,1054;0,06092365;
4458,8643;0,06089652;
4458,6232;0,06086397;
4458,3821;0,06087734;
4458,1410;0,06090134;
4457,8999;0,06092434;
4457,6588;0,06095856;
4457,4177;0,06097563;
4457,1765;0,06095969;
4456,9354;0,06092544;
4456,6943;0,06088481;
4456,4532;0,0608422;
4456,2121;0,06081096;
4455,9710;0,06081105;
4455,7299;0,06082609;
4455,4888;0,06083615;
4455,2477;0,06083568;
4455,0065;0,06081337;
4454,7654;0,06079554;
4454,5243;0,0608087;
4454,2832;0,0608288;
4454,0421;0,06083213;
4453,8010;0,06082904;
4453,5599;0,06083761;
4453,3188;0,0608377;
4453,0777;0,06083139;
4452,8365;0,06085807;
4452,5954;0,0608874;
4452,3543;0,06085459;
4452,1132;0,06077657;
4451,8721;0,06073959;
4451,6310;0,06079696;
4451,3899;0,06089306;
4451,1488;0,0609199;
4450,9077;0,0608511;
4450,6666;0,06075275;
4450,4254;0,06071065;
4450,1843;0,06075352;
4449,9432;0,06079;
4449,7021;0,06076317;
4449,4610;0,06072932;
4449,2199;0,06071134;
4448,9788;0,06071881;
4448,7377;0,06075766;
4448,4966;0,06078408;
4448,2554;0,06077788;
4448,0143;0,06076359;
4447,7732;0,06076868;
4447,5321;0,06077044;
4447,2910;0,06074195;
4447,0499;0,0607384;
4446,8088;0,06078437;
4446,5677;0,0607813;
4446,3266;0,06067672;
4446,0854;0,06058647;
4445,8443;0,06062246;
4445,6032;0,06070601;
4445,3621;0,06071724;
4445,1210;0,06069541;
4444,8799;0,06070345;
4444,6388;0,06070932;
4444,3977;0,06069723;
4444,1566;0,06068696;
4443,9154;0,06068086;
4443,6743;0,06068544;
4443,4332;0,06070158;
4443,1921;0,0606933;
4442,9510;0,06064186;
4442,7099;0,06059773;
4442,4688;0,0606207;
4442,2277;0,06069741;
4441,9866;0,0607554;
4441,7454;0,0607317;
4441,5043;0,06064082;
4441,2632;0,06059799;
4441,0221;0,06065574;
4440,7810;0,06069908;
4440,5399;0,06065356;
4440,2988;0,0606012;
4440,0577;0,06059963;
4439,8166;0,06058969;
4439,5754;0,0605552;
4439,3343;0,06054886;
4439,0932;0,06057106;
4438,8521;0,06060585;
4438,6110;0,06062591;
4438,3699;0,06059427;
4438,1288;0,06054877;
4437,8877;0,06053157;
4437,6466;0,06054889;
4437,4055;0,06059332;
4437,1643;0,06062008;
4436,9232;0,06060707;
4436,6821;0,0605796;
4436,4410;0,06053698;
4436,1999;0,06048256;
4435,9588;0,06045325;
4435,7177;0,0604437;
4435,4766;0,06044477;
4435,2355;0,06045721;
4434,9943;0,0604532;
4434,7532;0,06046203;
4434,5121;0,06050574;
4434,2710;0,06051356;
4434,0299;0,06046224;
4433,7888;0,06042118;
4433,5477;0,06042496;
4433,3066;0,06043154;
4433,0655;0,06042844;
4432,8243;0,06044608;
4432,5832;0,06047176;
4432,3421;0,06047087;
4432,1010;0,0604479;
4431,8599;0,06044831;
4431,6188;0,06047292;
4431,3777;0,06045468;
4431,1366;0,06040396;
4430,8955;0,06041259;
4430,6543;0,06046611;
4430,4132;0,06047899;
4430,1721;0,0604484;
4429,9310;0,06039685;
4429,6899;0,06035015;
4429,4488;0,06035523;
4429,2077;0,06038813;
4428,9666;0,06040458;
4428,7255;0,0604119;
4428,4843;0,06042639;
4428,2432;0,06045388;
4428,0021;0,06048083;
4427,7610;0,06049518;
4427,5199;0,06048753;
4427,2788;0,060444;
4427,0377;0,06039369;
4426,7966;0,06038209;
4426,5555;0,06039316;
4426,3143;0,06038501;
4426,0732;0,06037159;
4425,8321;0,06037522;
4425,5910;0,06035868;
4425,3499;0,06030556;
4425,1088;0,06026532;
4424,8677;0,06026999;
4424,6266;0,06029821;
4424,3855;0,06033441;
4424,1443;0,06037463;
4423,9032;0,06039569;
4423,6621;0,0604042;
4423,4210;0,06041928;
4423,1799;0,06042728;
4422,9388;0,0604066;
4422,6977;0,06033468;
4422,4566;0,06025072;
4422,2155;0,0602357;
4421,9744;0,06028896;
4421,7332;0,06034637;
4421,4921;0,06035336;
4421,2510;0,06032953;
