;SUBTRACT_4-6;
Wavenumbers [1/cm];Absorbance;
4441,0221;0,01232085;
4440,7810;0,01232062;
4440,5399;0,01239659;
4440,2988;0,01247941;
4440,0577;0,01243025;
4439,8166;0,01232949;
4439,5754;0,01226386;
4439,3343;0,01221225;
4439,0932;0,01222549;
4438,8521;0,012277;
4438,6110;0,01227019;
4438,3699;0,0122578;
4438,1288;0,0122851;
4437,8877;0,01232116;
4437,6466;0,01237366;
4437,4055;0,01240028;
4437,1643;0,01236765;
4436,9232;0,01233235;
4436,6821;0,01229864;
4436,4410;0,01225346;
4436,1999;0,01225184;
4435,9588;0,01230698;
4435,7177;0,01238105;
4435,4766;0,01246646;
4435,2355;0,01256122;
4434,9943;0,01263592;
4434,7532;0,01263004;
4434,5121;0,01250537;
4434,2710;0,01233685;
4434,0299;0,01224311;
4433,7888;0,01226267;
4433,5477;0,01235357;
4433,3066;0,0124596;
4433,0655;0,01252962;
4432,8243;0,0125368;
4432,5832;0,01252222;
4432,3421;0,01254261;
4432,1010;0,0126054;
4431,8599;0,01266077;
4431,6188;0,01266452;
4431,3777;0,01265967;
4431,1366;0,01266713;
4430,8955;0,0126293;
4430,6543;0,01255196;
4430,4132;0,01252262;
4430,1721;0,01257099;
4429,9310;0,01259607;
4429,6899;0,01252191;
4429,4488;0,0124349;
4429,2077;0,01241852;
4428,9666;0,01243255;
4428,7255;0,01244043;
4428,4843;0,01248257;
4428,2432;0,01255766;
4428,0021;0,01257776;
4427,7610;0,01255388;
4427,5199;0,01258399;
4427,2788;0,01265635;
4427,0377;0,01270915;
4426,7966;0,01271913;
4426,5555;0,01269885;
4426,3143;0,01265598;
4426,0732;0,01256866;
4425,8321;0,01249781;
4425,5910;0,01249995;
4425,3499;0,01253207;
4425,1088;0,01256349;
4424,8677;0,01257832;
4424,6266;0,01259096;
4424,3855;0,01262962;
4424,1443;0,01266792;
4423,9032;0,01267077;
4423,6621;0,01262486;
4423,4210;0,0125788;
4423,1799;0,01259413;
4422,9388;0,01262787;
4422,6977;0,01261337;
4422,4566;0,01257137;
4422,2155;0,01254423;
4421,9744;0,01251897;
4421,7332;0,01250279;
4421,4921;0,01256462;
4421,2510;0,01269476;
4421,0099;0,01278096;
4420,7688;0,01277039;
4420,5277;0,01271834;
4420,2866;0,0127239;
4420,0455;0,01280929;
4419,8044;0,01284805;
4419,5632;0,01275823;
4419,3221;0,01266748;
4419,0810;0,01270804;
4418,8399;0,01279161;
4418,5988;0,01277062;
4418,3577;0,0126843;
4418,1166;0,01265582;
4417,8755;0,01270989;
4417,6344;0,01280589;
4417,3932;0,0128773;
4417,1521;0,01285573;
4416,9110;0,01279737;
4416,6699;0,01282829;
4416,4288;0,01288341;
4416,1877;0,01282263;
4415,9466;0,01273476;
4415,7055;0,01275432;
4415,4644;0,01283708;
4415,2232;0,01291144;
4414,9821;0,01291987;
4414,7410;0,01283709;
4414,4999;0,01278006;
4414,2588;0,01281076;
4414,0177;0,0128568;
4413,7766;0,01289052;
4413,5355;0,01287928;
4413,2944;0,01280128;
4413,0532;0,01275511;
4412,8121;0,01277937;
4412,5710;0,01277326;
4412,3299;0,01272911;
4412,0888;0,01275582;
4411,8477;0,01282561;
4411,6066;0,01282589;
4411,3655;0,01280495;
4411,1244;0,01284668;
4410,8832;0,01289094;
4410,6421;0,01287725;
4410,4010;0,01283997;
4410,1599;0,01282595;
4409,9188;0,01284991;
4409,6777;0,01288474;
4409,4366;0,01289901;
4409,1955;0,0129026;
4408,9544;0,01291629;
4408,7133;0,01294169;
4408,4721;0,01295806;
4408,2310;0,01293284;
4407,9899;0,01288898;
4407,7488;0,01288762;
4407,5077;0,01290952;
4407,2666;0,01291277;
4407,0255;0,01291351;
4406,7844;0,0128977;
4406,5433;0,012892;
4406,3021;0,01295016;
4406,0610;0,01297525;
4405,8199;0,01292115;
4405,5788;0,01290231;
4405,3377;0,01294387;
4405,0966;0,01299673;
4404,8555;0,01306492;
4404,6144;0,0131163;
4404,3733;0,01308806;
4404,1321;0,01304663;
4403,8910;0,01308535;
4403,6499;0,01313019;
4403,4088;0,01311328;
4403,1677;0,01308107;
4402,9266;0,01303274;
4402,6855;0,01300286;
4402,4444;0,01307288;
4402,2033;0,0131744;
4401,9621;0,01320212;
4401,7210;0,01316596;
4401,4799;0,01316264;
4401,2388;0,01324867;
4400,9977;0,01331864;
4400,7566;0,01327692;
4400,5155;0,01316781;
4400,2744;0,01304461;
4400,0333;0,01294344;
4399,7921;0,01292626;
4399,5510;0,01300517;
4399,3099;0,0130898;
4399,0688;0,01310386;
4398,8277;0,01308161;
4398,5866;0,01306898;
4398,3455;0,01305877;
4398,1044;0,01308117;
4397,8633;0,01315344;
4397,6221;0,01319671;
4397,3810;0,0132033;
4397,1399;0,01324757;
4396,8988;0,01328261;
4396,6577;0,01323259;
4396,4166;0,01316833;
4396,1755;0,0131388;
4395,9344;0,01306879;
4395,6933;0,01299091;
4395,4521;0,01302487;
4395,2110;0,01313141;
4394,9699;0,01321943;
4394,7288;0,0132615;
4394,4877;0,01322448;
4394,2466;0,01313716;
4394,0055;0,01308915;
4393,7644;0,01312956;
4393,5233;0,01321844;
4393,2822;0,01322641;
4393,0410;0,01314136;
4392,7999;0,01308884;
4392,5588;0,01307316;
4392,3177;0,01307173;
4392,0766;0,01313678;
4391,8355;0,01323002;
4391,5944;0,01327658;
4391,3533;0,01326491;
4391,1122;0,01322053;
4390,8710;0,01317976;
4390,6299;0,01317873;
4390,3888;0,01322098;
4390,1477;0,01324981;
4389,9066;0,01325489;
4389,6655;0,01326222;
4389,4244;0,01323977;
4389,1833;0,01317675;
4388,9422;0,01310639;
4388,7010;0,01309747;
4388,4599;0,01319628;
4388,2188;0,01329329;
4387,9777;0,0132742;
4387,7366;0,01320042;
4387,4955;0,0131568;
4387,2544;0,01316522;
4387,0133;0,01324612;
4386,7722;0,0133603;
4386,5310;0,01342021;
4386,2899;0,01338414;
4386,0488;0,01326116;
4385,8077;0,01312096;
4385,5666;0,01305602;
4385,3255;0,01307388;
4385,0844;0,01311903;
4384,8433;0,01318514;
4384,6022;0,01324226;
4384,3610;0,013217;
4384,1199;0,01317955;
4383,8788;0,01322355;
4383,6377;0,01328983;
4383,3966;0,01330374;
4383,1555;0,01325599;
4382,9144;0,01320075;
4382,6733;0,01319001;
4382,4322;0,01319944;
4382,1910;0,01322969;
4381,9499;0,01327646;
4381,7088;0,0132796;
4381,4677;0,01327162;
4381,2266;0,01331224;
4380,9855;0,01335419;
4380,7444;0,01337446;
4380,5033;0,01340277;
4380,2622;0,01340553;
4380,0211;0,01334547;
4379,7799;0,01330145;
4379,5388;0,01336614;
4379,2977;0,01345231;
4379,0566;0,0134347;
4378,8155;0,01337096;
4378,5744;0,01337748;
4378,3333;0,01344543;
4378,0922;0,01346715;
4377,8511;0,01343035;
4377,6099;0,013422;
4377,3688;0,01340325;
4377,1277;0,01332585;
4376,8866;0,01328724;
4376,6455;0,01332863;
4376,4044;0,01337354;
4376,1633;0,01336828;
4375,9222;0,01336659;
4375,6811;0,01343714;
4375,4399;0,0135145;
4375,1988;0,01351794;
4374,9577;0,01348551;
4374,7166;0,01347616;
4374,4755;0,01347027;
4374,2344;0,01341845;
4373,9933;0,01335924;
4373,7522;0,0133515;
4373,5111;0,01336053;
4373,2699;0,01335927;
4373,0288;0,01336273;
4372,7877;0,01337358;
4372,5466;0,01341652;
4372,3055;0,01346288;
4372,0644;0,01343658;
4371,8233;0,01338258;
4371,5822;0,01337777;
4371,3411;0,01339617;
4371,0999;0,01339487;
4370,8588;0,01339095;
4370,6177;0,01342061;
4370,3766;0,01344359;
4370,1355;0,01340444;
4369,8944;0,01332861;
4369,6533;0,0132711;
4369,4122;0,01327309;
4369,1711;0,01331525;
4368,9299;0,01334937;
4368,6888;0,0133757;
4368,4477;0,01339764;
4368,2066;0,01341272;
4367,9655;0,0134374;
4367,7244;0,01348582;
4367,4833;0,01354231;
4367,2422;0,01355276;
4367,0011;0,0134767;
4366,7599;0,01337067;
4366,5188;0,01333965;
4366,2777;0,01338935;
4366,0366;0,01343497;
4365,7955;0,01342411;
4365,5544;0,01340277;
4365,3133;0,01346086;
4365,0722;0,0135751;
4364,8311;0,01362414;
4364,5900;0,01357792;
4364,3488;0,01352008;
4364,1077;0,01348503;
4363,8666;0,01342774;
4363,6255;0,01338081;
4363,3844;0,01341064;
4363,1433;0,01346055;
4362,9022;0,013499;
4362,6611;0,01356744;
4362,4200;0,01360625;
4362,1788;0,01358129;
4361,9377;0,01358492;
4361,6966;0,01362028;
4361,4555;0,01359639;
4361,2144;0,01354512;
4360,9733;0,01354914;
