;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,1732213;
4499,3710;0,1731741;
4499,1298;0,1731302;
4498,8887;0,1731716;
4498,6476;0,1732514;
4498,4065;0,1732755;
4498,1654;0,1731908;
4497,9243;0,1730964;
4497,6832;0,1731107;
4497,4421;0,1731785;
4497,2010;0,1732154;
4496,9598;0,1731988;
4496,7187;0,1731297;
4496,4776;0,1730687;
4496,2365;0,1730733;
4495,9954;0,1731164;
4495,7543;0,1731369;
4495,5132;0,1731079;
4495,2721;0,1730599;
4495,0310;0,1730432;
4494,7899;0,1730697;
4494,5487;0,1731199;
4494,3076;0,1731676;
4494,0665;0,1731648;
4493,8254;0,1731049;
4493,5843;0,173022;
4493,3432;0,1729536;
4493,1021;0,1729517;
4492,8610;0,1729748;
4492,6199;0,1729494;
4492,3787;0,1729067;
4492,1376;0,1728908;
4491,8965;0,1729093;
4491,6554;0,172923;
4491,4143;0,1728985;
4491,1732;0,1728551;
4490,9321;0,1727987;
4490,6910;0,17278;
4490,4499;0,1728573;
4490,2087;0,172949;
4489,9676;0,1729432;
4489,7265;0,1728565;
4489,4854;0,1727681;
4489,2443;0,1727366;
4489,0032;0,1727765;
4488,7621;0,1728174;
4488,5210;0,1727986;
4488,2799;0,1727643;
4488,0387;0,1727642;
4487,7976;0,1727496;
4487,5565;0,1726809;
4487,3154;0,1726336;
4487,0743;0,1726426;
4486,8332;0,1726546;
4486,5921;0,1726649;
4486,3510;0,1727052;
4486,1099;0,1727538;
4485,8687;0,172726;
4485,6276;0,1726132;
4485,3865;0,1725328;
4485,1454;0,17257;
4484,9043;0,1726687;
4484,6632;0,1727063;
4484,4221;0,1726828;
4484,1810;0,1726854;
4483,9399;0,1726942;
4483,6987;0,1726451;
4483,4576;0,1725685;
4483,2165;0,1725237;
4482,9754;0,172491;
4482,7343;0,1724362;
4482,4932;0,1724019;
4482,2521;0,1724392;
4482,0110;0,172519;
4481,7699;0,1725681;
4481,5287;0,1725803;
4481,2876;0,1725894;
4481,0465;0,1725733;
4480,8054;0,1725378;
4480,5643;0,1725494;
4480,3232;0,1725876;
4480,0821;0,1725745;
4479,8410;0,1725469;
4479,5999;0,1725503;
4479,3588;0,1725292;
4479,1176;0,1724694;
4478,8765;0,1724307;
4478,6354;0,1724269;
4478,3943;0,1724132;
4478,1532;0,1723901;
4477,9121;0,1724241;
4477,6710;0,172472;
4477,4299;0,1724204;
4477,1888;0,1723299;
4476,9476;0,172296;
4476,7065;0,1722697;
4476,4654;0,1722324;
4476,2243;0,1722288;
4475,9832;0,1722443;
4475,7421;0,1722328;
4475,5010;0,1722099;
4475,2599;0,1722358;
4475,0188;0,172304;
4474,7776;0,1723367;
4474,5365;0,1723173;
4474,2954;0,1723065;
4474,0543;0,1723176;
4473,8132;0,1723243;
4473,5721;0,1723098;
4473,3310;0,1722343;
4473,0899;0,1721024;
4472,8488;0,1719883;
4472,6076;0,1719556;
4472,3665;0,1720186;
4472,1254;0,1721084;
4471,8843;0,1721525;
4471,6432;0,1721647;
4471,4021;0,172176;
4471,1610;0,1721938;
4470,9199;0,1722001;
4470,6788;0,1721648;
4470,4376;0,172115;
4470,1965;0,1720908;
4469,9554;0,1720702;
4469,7143;0,1720404;
4469,4732;0,172013;
4469,2321;0,1719735;
4468,9910;0,1719379;
4468,7499;0,1719559;
4468,5088;0,1720116;
4468,2676;0,1720354;
4468,0265;0,1720126;
4467,7854;0,1719983;
4467,5443;0,1720196;
4467,3032;0,1720425;
4467,0621;0,1720509;
4466,8210;0,1720552;
4466,5799;0,172029;
4466,3388;0,1719592;
4466,0977;0,1719193;
4465,8565;0,1719439;
4465,6154;0,1719622;
4465,3743;0,1719564;
4465,1332;0,171945;
4464,8921;0,1719163;
4464,6510;0,1719012;
4464,4099;0,1719126;
4464,1688;0,1719223;
4463,9277;0,1719093;
4463,6865;0,1718618;
4463,4454;0,1718202;
4463,2043;0,1718082;
4462,9632;0,1717959;
4462,7221;0,1717851;
4462,4810;0,1717777;
4462,2399;0,1717536;
4461,9988;0,1717438;
4461,7577;0,171762;
4461,5165;0,1717524;
4461,2754;0,1717139;
4461,0343;0,1716892;
4460,7932;0,1716608;
4460,5521;0,1716351;
4460,3110;0,1716864;
4460,0699;0,17178;
4459,8288;0,1717852;
4459,5877;0,1717133;
4459,3465;0,1716607;
4459,1054;0,1716335;
4458,8643;0,1716007;
4458,6232;0,1715625;
4458,3821;0,1715368;
4458,1410;0,1715414;
4457,8999;0,1715936;
4457,6588;0,1716654;
4457,4177;0,1716806;
4457,1765;0,1716176;
4456,9354;0,1715166;
4456,6943;0,1714316;
4456,4532;0,1714133;
4456,2121;0,1714806;
4455,9710;0,1715775;
4455,7299;0,171601;
4455,4888;0,1715502;
4455,2477;0,1715182;
4455,0065;0,1715329;
4454,7654;0,1715506;
4454,5243;0,1715404;
4454,2832;0,1715097;
4454,0421;0,1714847;
4453,8010;0,1714917;
4453,5599;0,1715267;
4453,3188;0,1715388;
4453,0777;0,1715151;
4452,8365;0,1714937;
4452,5954;0,1714835;
4452,3543;0,1714968;
4452,1132;0,1715273;
4451,8721;0,1715003;
4451,6310;0,1714355;
4451,3899;0,1714534;
4451,1488;0,1715241;
4450,9077;0,1714998;
4450,6666;0,1713798;
4450,4254;0,1713139;
4450,1843;0,1713624;
4449,9432;0,1714121;
4449,7021;0,1713807;
4449,4610;0,1713303;
4449,2199;0,1713218;
4448,9788;0,1713318;
4448,7377;0,171326;
4448,4966;0,1713047;
4448,2554;0,1712831;
4448,0143;0,1712877;
4447,7732;0,1713156;
4447,5321;0,1713094;
4447,2910;0,1712639;
4447,0499;0,1712463;
4446,8088;0,1712648;
4446,5677;0,1712501;
4446,3266;0,171219;
4446,0854;0,1712375;
4445,8443;0,1712387;
4445,6032;0,1711929;
4445,3621;0,1711796;
4445,1210;0,1711838;
4444,8799;0,1711668;
4444,6388;0,1711531;
4444,3977;0,1711491;
4444,1566;0,1711379;
4443,9154;0,1711158;
4443,6743;0,1711018;
4443,4332;0,1711198;
4443,1921;0,1711718;
4442,9510;0,171191;
4442,7099;0,1711201;
4442,4688;0,1710183;
4442,2277;0,1709586;
4441,9866;0,1709568;
4441,7454;0,1709761;
4441,5043;0,1709592;
4441,2632;0,1709326;
4441,0221;0,1709485;
4440,7810;0,1709751;
4440,5399;0,1709702;
4440,2988;0,1709501;
4440,0577;0,1709333;
4439,8166;0,1709203;
4439,5754;0,170946;
4439,3343;0,171015;
4439,0932;0,1710417;
4438,8521;0,1709694;
4438,6110;0,1708583;
4438,3699;0,1708135;
4438,1288;0,1708492;
4437,8877;0,1708675;
4437,6466;0,1708213;
4437,4055;0,1707826;
4437,1643;0,1707984;
4436,9232;0,1708195;
4436,6821;0,1708081;
4436,4410;0,1708056;
4436,1999;0,1708291;
4435,9588;0,1708096;
4435,7177;0,1707406;
4435,4766;0,1707098;
4435,2355;0,170733;
4434,9943;0,1707367;
4434,7532;0,1707063;
4434,5121;0,1707159;
4434,2710;0,1707665;
4434,0299;0,1707604;
4433,7888;0,1706889;
4433,5477;0,1706405;
4433,3066;0,1706481;
4433,0655;0,1706532;
4432,8243;0,1706174;
4432,5832;0,1705904;
4432,3421;0,1706114;
