;test;
Wavenumbers [1/cm];Absorbance;
4498,4065;-1,182303E-6;
4498,1654;-2,60557E-5;
4497,9243;-3,893636E-5;
4497,6832;-2,385228E-5;
4497,4421;1,086055E-5;
4497,2010;3,466417E-5;
4496,9598;3,142007E-5;
4496,7187;1,398789E-5;
4496,4776;-1,043947E-6;
4496,2365;-6,106111E-6;
4495,9954;-2,674238E-6;
4495,7543;-3,336409E-6;
4495,5132;-1,539115E-5;
4495,2721;-2,518326E-5;
4495,0310;-1,391743E-5;
4494,7899;1,165679E-5;
4494,5487;2,524259E-5;
4494,3076;1,522459E-5;
4494,0665;-6,137394E-6;
4493,8254;-1,719159E-5;
4493,5843;-7,487375E-6;
4493,3432;1,08372E-5;
4493,1021;1,371123E-5;
4492,8610;-5,937029E-6;
4492,6199;-2,332341E-5;
4492,3787;-1,539538E-5;
4492,1376;1,02369E-5;
4491,8965;3,13631E-5;
4491,6554;3,094879E-5;
4491,4143;6,757167E-6;
4491,1732;-2,26898E-5;
4490,9321;-3,271382E-5;
4490,6910;-1,873566E-5;
4490,4499;4,079859E-6;
4490,2087;2,103386E-5;
4489,9676;2,443257E-5;
4489,7265;1,380303E-5;
4489,4854;-1,542325E-6;
4489,2443;-1,304964E-5;
4489,0032;-1,934501E-5;
4488,7621;-1,64228E-5;
4488,5210;-3,30283E-6;
4488,2799;1,132984E-5;
4488,0387;1,795226E-5;
4487,7976;1,233276E-5;
4487,5565;-6,993105E-7;
4487,3154;-1,101918E-5;
4487,0743;-1,136793E-5;
4486,8332;-3,957248E-6;
4486,5921;1,497821E-6;
4486,3510;7,35432E-7;
4486,1099;-4,789821E-6;
4485,8687;-1,010015E-5;
4485,6276;-6,860191E-6;
4485,3865;5,819275E-6;
4485,1454;1,748942E-5;
4484,9043;1,68611E-5;
4484,6632;5,5081E-6;
4484,4221;-5,354199E-6;
4484,1810;-7,07003E-6;
4483,9399;9,621544E-7;
4483,6987;3,841884E-6;
4483,4576;-9,820935E-6;
4483,2165;-1,999493E-5;
4482,9754;-6,028338E-6;
4482,7343;1,685607E-5;
4482,4932;2,325713E-5;
4482,2521;1,146728E-5;
4482,0110;-7,228893E-6;
4481,7699;-2,197776E-5;
4481,5287;-1,721453E-5;
4481,2876;4,197853E-6;
4481,0465;1,349603E-5;
4480,8054;2,339264E-6;
4480,5643;-9,272779E-6;
4480,3232;-1,008021E-5;
4480,0821;-3,537923E-6;
4479,8410;6,971266E-6;
4479,5999;1,57241E-5;
4479,3588;1,402359E-5;
4479,1176;4,018402E-6;
4478,8765;-6,820534E-6;
4478,6354;-1,715657E-5;
4478,3943;-2,317956E-5;
4478,1532;-1,602399E-5;
4477,9121;6,919869E-6;
4477,6710;2,952102E-5;
4477,4299;2,907298E-5;
4477,1888;5,564532E-6;
4476,9476;-1,914202E-5;
4476,7065;-2,362964E-5;
4476,4654;-5,742961E-6;
4476,2243;1,56031E-5;
4475,9832;2,235736E-5;
4475,7421;1,281419E-5;
4475,5010;-2,037112E-6;
4475,2599;-1,010694E-5;
4475,0188;-1,032788E-5;
4474,7776;-9,060932E-6;
4474,5365;-8,864514E-6;
4474,2954;-8,154995E-6;
4474,0543;-5,712125E-6;
4473,8132;-1,172026E-6;
4473,5721;7,841772E-6;
4473,3310;2,038293E-5;
4473,0899;2,339501E-5;
4472,8488;9,569005E-6;
4472,6076;-6,806742E-6;
4472,3665;-1,245052E-5;
4472,1254;-9,092346E-6;
4471,8843;-2,987428E-6;
4471,6432;-1,692828E-6;
4471,4021;-9,862051E-6;
4471,1610;-1,882696E-5;
4470,9199;-1,215843E-5;
4470,6788;1,033935E-5;
4470,4376;2,531918E-5;
4470,1965;1,643322E-5;
4469,9554;-5,052272E-6;
4469,7143;-1,97993E-5;
4469,4732;-1,695568E-5;
4469,2321;2,601781E-6;
4468,9910;2,303088E-5;
4468,7499;2,72173E-5;
4468,5088;1,189195E-5;
4468,2676;-1,253214E-5;
4468,0265;-2,704524E-5;
4467,7854;-2,010101E-5;
4467,5443;8,237294E-7;
4467,3032;2,094103E-5;
4467,0621;2,925297E-5;
4466,8210;1,548475E-5;
4466,5799;-1,705982E-5;
4466,3388;-3,854478E-5;
4466,0977;-2,78185E-5;
4465,8565;-1,91716E-6;
4465,6154;1,527854E-5;
4465,3743;1,941582E-5;
4465,1332;1,325518E-5;
4464,8921;3,534293E-6;
4464,6510;3,093322E-6;
4464,4099;1,066553E-5;
4464,1688;1,230757E-5;
4463,9277;5,504047E-6;
4463,6865;-3,929479E-6;
4463,4454;-1,320412E-5;
4463,2043;-2,184964E-5;
4462,9632;-2,881482E-5;
4462,7221;-2,389375E-5;
4462,4810;1,725202E-6;
4462,2399;3,123942E-5;
4461,9988;3,709345E-5;
4461,7577;1,601824E-5;
4461,5165;-1,353263E-5;
4461,2754;-3,307351E-5;
4461,0343;-2,928288E-5;
4460,7932;-5,084254E-6;
4460,5521;1,500974E-5;
4460,3110;1,975897E-5;
4460,0699;2,123753E-5;
4459,8288;2,108626E-5;
4459,5877;9,122468E-6;
4459,3465;-1,115294E-5;
4459,1054;-2,477552E-5;
4458,8643;-2,477299E-5;
4458,6232;-1,356345E-5;
4458,3821;1,566063E-6;
4458,1410;9,916163E-6;
4457,8999;9,319432E-6;
4457,6588;7,958381E-6;
4457,4177;1,370287E-5;
4457,1765;2,17732E-5;
4456,9354;1,686089E-5;
4456,6943;-4,475882E-6;
4456,4532;-2,684409E-5;
4456,2121;-3,303975E-5;
4455,9710;-2,026926E-5;
4455,7299;1,735243E-6;
4455,4888;1,74045E-5;
4455,2477;1,372292E-5;
4455,0065;3,027526E-7;
4454,7654;-2,164903E-6;
4454,5243;8,693398E-6;
4454,2832;1,791713E-5;
4454,0421;1,11216E-5;
4453,8010;-6,03401E-6;
4453,5599;-1,550138E-5;
4453,3188;-1,115874E-5;
4453,0777;4,269277E-7;
4452,8365;7,251187E-6;
4452,5954;4,998146E-7;
4452,3543;-1,522453E-5;
4452,1132;-2,357577E-5;
4451,8721;-1,228892E-5;
4451,6310;1,029329E-5;
4451,3899;2,375111E-5;
4451,1488;1,907377E-5;
4450,9077;4,402689E-6;
4450,6666;-6,163806E-6;
4450,4254;-4,453199E-6;
4450,1843;6,077469E-6;
4449,9432;1,111683E-5;
4449,7021;4,130306E-7;
4449,4610;-1,825983E-5;
4449,2199;-2,482234E-5;
4448,9788;-6,272268E-6;
4448,7377;2,44469E-5;
4448,4966;3,986676E-5;
4448,2554;2,781782E-5;
4448,0143;-2,300872E-6;
4447,7732;-2,833365E-5;
4447,5321;-3,425273E-5;
4447,2910;-2,41682E-5;
4447,0499;-1,26557E-5;
4446,8088;-7,765037E-6;
4446,5677;-1,833752E-6;
4446,3266;1,284623E-5;
4446,0854;2,896236E-5;
4445,8443;3,415485E-5;
4445,6032;1,93991E-5;
4445,3621;-9,831216E-6;
4445,1210;-2,978129E-5;
4444,8799;-2,692129E-5;
4444,6388;-1,502609E-5;
4444,3977;-7,597064E-6;
4444,1566;4,910034E-7;
4443,9154;1,242131E-5;
4443,6743;2,093457E-5;
4443,4332;2,09052E-5;
4443,1921;1,085681E-5;
4442,9510;-7,996219E-6;
4442,7099;-2,217043E-5;
4442,4688;-1,537187E-5;
4442,2277;5,215727E-6;
4441,9866;1,800505E-5;
4441,7454;1,744587E-5;
4441,5043;1,645642E-5;
4441,2632;1,769397E-5;
4441,0221;4,835543E-6;
4440,7810;-2,038027E-5;
4440,5399;-3,683895E-5;
4440,2988;-3,539818E-5;
4440,0577;-1,640161E-5;
4439,8166;1,125773E-5;
4439,5754;2,5721E-5;
4439,3343;1,495432E-5;
4439,0932;-4,429068E-6;
4438,8521;-8,539697E-6;
4438,6110;3,547641E-6;
4438,3699;1,798209E-5;
4438,1288;2,006001E-5;
4437,8877;1,191682E-6;
4437,6466;-2,410349E-5;
4437,4055;-3,126707E-5;
4437,1643;-1,589429E-5;
4436,9232;8,475152E-6;
4436,6821;2,639873E-5;
4436,4410;2,911335E-5;
4436,1999;1,842202E-5;
4435,9588;3,913392E-6;
4435,7177;-8,309868E-6;
4435,4766;-1,992393E-5;
4435,2355;-2,836942E-5;
4434,9943;-2,58068E-5;
4434,7532;-1,054096E-5;
4434,5121;9,793632E-6;
4434,2710;2,475844E-5;
4434,0299;2,971529E-5;
4433,7888;2,514039E-5;
4433,5477;1,194065E-5;
4433,3066;-5,962793E-6;
4433,0655;-1,868715E-5;
4432,8243;-1,886512E-5;
4432,5832;-1,029641E-5;
4432,3421;8,056086E-7;
4432,1010;8,849653E-6;
4431,8599;4,971924E-6;
4431,6188;-1,24882E-5;
4431,3777;-2,791812E-5;
4431,1366;-2,245186E-5;
4430,8955;6,303271E-7;
4430,6543;2,186811E-5;
4430,4132;2,802821E-5;
4430,1721;1,419878E-5;
4429,9310;-1,049826E-5;
4429,6899;-2,269691E-5;
4429,4488;-1,071455E-5;
4429,2077;1,205591E-5;
4428,9666;2,102035E-5;
4428,7255;8,558287E-6;
4428,4843;-5,621034E-6;
4428,2432;-5,079368E-6;
4428,0021;5,400736E-6;
4427,7610;1,179119E-5;
4427,5199;4,408757E-6;
4427,2788;-1,299408E-5;
4427,0377;-2,800977E-5;
4426,7966;-2,376946E-5;
4426,5555;1,460863E-6;
4426,3143;2,20305E-5;
4426,0732;2,324404E-5;
4425,8321;1,208417E-5;
4425,5910;-4,033358E-6;
4425,3499;-1,504067E-5;
4425,1088;-8,913226E-6;
4424,8677;1,032712E-5;
4424,6266;2,009828E-5;
4424,3855;1,220216E-5;
4424,1443;-1,19974E-6;
4423,9032;-1,34827E-5;
4423,6621;-1,893314E-5;
4423,4210;-1,149043E-5;
4423,1799;6,757546E-8;
4422,9388;2,421228E-6;
4422,6977;-2,37866E-6;
4422,4566;-2,87317E-6;
4422,2155;3,799112E-6;
4421,9744;1,278165E-5;
4421,7332;1,838351E-5;
4421,4921;1,250702E-5;
4421,2510;-5,80529E-6;
4421,0099;-1,855382E-5;
4420,7688;-1,142518E-5;
4420,5277;4,196081E-7;
4420,2866;-4,411602E-6;
4420,0455;-1,663925E-5;
4419,8044;-1,341087E-5;
4419,5632;3,590238E-6;
4419,3221;1,944531E-5;
4419,0810;2,310397E-5;
4418,8399;8,833471E-6;
4418,5988;-7,774423E-6;
4418,3577;-3,929974E-6;
4418,1166;1,079621E-5;
4417,8755;6,535374E-6;
4417,6344;-1,312519E-5;
4417,3932;-2,0359E-5;
4417,1521;-1,492706E-5;
4416,9110;-7,222581E-6;
4416,6699;6,286729E-6;
4416,4288;2,014621E-5;
4416,1877;2,319521E-5;
4415,9466;1,511962E-5;
4415,7055;-2,338271E-6;
4415,4644;-2,37346E-5;
4415,2232;-3,049644E-5;
4414,9821;-9,532425E-6;
4414,7410;2,239995E-5;
4414,4999;3,283799E-5;
4414,2588;1,249069E-5;
4414,0177;-1,866614E-5;
4413,7766;-3,631433E-5;
4413,5355;-3,000349E-5;
4413,2944;-7,812494E-6;
4413,0532;1,960696E-5;
4412,8121;4,281869E-5;
4412,5710;4,326306E-5;
4412,3299;1,621656E-5;
4412,0888;-1,662827E-5;
4411,8477;-3,379976E-5;
4411,6066;-2,969531E-5;
4411,3655;-1,122197E-5;
4411,1244;6,58397E-6;
4410,8832;1,171458E-5;
4410,6421;8,675739E-6;
4410,4010;8,542716E-6;
4410,1599;6,978571E-6;
4409,9188;-4,743652E-6;
4409,6777;-1,362467E-5;
4409,4366;-3,747205E-6;
4409,1955;1,210857E-5;
4408,9544;1,489574E-5;
4408,7133;5,186386E-6;
4408,4721;-9,372579E-6;
4408,2310;-1,704439E-5;
4407,9899;-6,952752E-6;
4407,7488;6,774553E-6;
4407,5077;2,736564E-6;
4407,2666;-1,003153E-5;
4407,0255;-1,10083E-5;
4406,7844;-3,479843E-6;
4406,5433;2,477173E-6;
4406,3021;1,013283E-5;
4406,0610;1,61282E-5;
4405,8199;1,362505E-5;
4405,5788;9,632247E-6;
4405,3377;3,092253E-6;
4405,0966;-1,074463E-5;
4404,8555;-1,674227E-5;
4404,6144;-6,815633E-6;
4404,3733;4,30987E-6;
4404,1321;6,402737E-6;
4403,8910;3,813766E-7;
4403,6499;-8,387979E-6;
4403,4088;-8,955576E-6;
4403,1677;2,843502E-6;
4402,9266;1,507915E-5;
4402,6855;1,333171E-5;
4402,4444;4,008289E-7;
4402,2033;-7,150058E-6;
4401,9621;-4,305672E-6;
4401,7210;-3,647328E-7;
4401,4799;-1,845754E-6;
4401,2388;-6,691986E-6;
4400,9977;-1,353637E-5;
4400,7566;-2,242922E-5;
4400,5155;-2,134579E-5;
4400,2744;-2,054916E-6;
4400,0333;2,033027E-5;
4399,7921;2,929622E-5;
4399,5510;2,174733E-5;
4399,3099;9,587893E-8;
4399,0688;-1,933658E-5;
4398,8277;-1,21345E-5;
4398,5866;1,323805E-5;
4398,3455;2,29934E-5;
4398,1044;1,001965E-5;
4397,8633;-6,873273E-6;
4397,6221;-1,496575E-5;
4397,3810;-1,269879E-5;
4397,1399;-3,916641E-6;
4396,8988;6,445625E-7;
4396,6577;-2,949797E-6;
4396,4166;-1,340708E-6;
4396,1755;9,089908E-6;
4395,9344;1,588359E-5;
4395,6933;1,393074E-5;
4395,4521;2,538069E-6;
4395,2110;-1,610938E-5;
4394,9699;-2,808582E-5;
4394,7288;-2,011218E-5;
4394,4877;4,918129E-6;
4394,2466;2,678081E-5;
4394,0055;2,568533E-5;
4393,7644;3,61097E-6;
4393,5233;-2,095262E-5;
4393,2822;-2,966509E-5;
4393,0410;-1,463995E-5;
4392,7999;1,542204E-5;
4392,5588;3,884474E-5;
4392,3177;3,402709E-5;
4392,0766;3,104462E-6;
4391,8355;-2,920911E-5;
4391,5944;-4,322395E-5;
4391,3533;-2,990759E-5;
4391,1122;1,841163E-6;
4390,8710;2,46306E-5;
4390,6299;2,476277E-5;
4390,3888;1,236374E-5;
4390,1477;3,079622E-7;
4389,9066;-1,051046E-5;
4389,6655;-1,732643E-5;
4389,4244;-8,123192E-6;
4389,1833;1,091619E-5;
4388,9422;1,974258E-5;
4388,7010;1,335618E-5;
4388,4599;-3,3264E-6;
4388,2188;-2,00631E-5;
4387,9777;-1,800924E-5;
4387,7366;7,32427E-6;
4387,4955;2,96019E-5;
4387,2544;2,431217E-5;
4387,0133;-1,032924E-6;
4386,7722;-2,923307E-5;
4386,5310;-4,953886E-5;
4386,2899;-4,761817E-5;
4386,0488;-1,664282E-5;
4385,8077;3,093404E-5;
4385,5666;6,798663E-5;
4385,3255;6,636267E-5;
4385,0844;2,56628E-5;
4384,8433;-2,312854E-5;
4384,6022;-4,744269E-5;
4384,3610;-3,438107E-5;
4384,1199;1,554035E-6;
4383,8788;2,536216E-5;
4383,6377;1,644433E-5;
4383,3966;-6,987309E-6;
4383,1555;-1,596697E-5;
4382,9144;-7,272018E-6;
4382,6733;1,175169E-6;
4382,4322;-2,822562E-6;
4382,1910;-1,209224E-5;
4381,9499;-1,148193E-5;
4381,7088;4,73806E-6;
4381,4677;2,581191E-5;
4381,2266;3,176761E-5;
4380,9855;1,042526E-5;
4380,7444;-2,315583E-5;
4380,5033;-3,24967E-5;
4380,2622;-8,065199E-6;
4380,0211;1,974677E-5;
4379,7799;2,515766E-5;
4379,5388;7,870749E-6;
4379,2977;-1,506675E-5;
4379,0566;-2,494229E-5;
4378,8155;-1,815071E-5;
4378,5744;-3,411114E-6;
4378,3333;7,969393E-6;
4378,0922;1,07046E-5;
4377,8511;7,94679E-6;
4377,6099;1,80562E-6;
4377,3688;-6,552993E-6;
4377,1277;-1,213354E-5;
4376,8866;-7,917697E-6;
4376,6455;7,415212E-6;
4376,4044;2,157578E-5;
4376,1633;2,337599E-5;
4375,9222;1,504277E-5;
4375,6811;1,921042E-6;
4375,4399;-1,165889E-5;
4375,1988;-2,235438E-5;
4374,9577;-2,580785E-5;
4374,7166;-1,700823E-5;
4374,4755;-8,445531E-7;
4374,2344;1,108049E-5;
4373,9933;1,178155E-5;
4373,7522;2,439123E-6;
4373,5111;-5,847603E-6;
4373,2699;-2,887122E-6;
4373,0288;7,882521E-6;
4372,7877;1,582365E-5;
4372,5466;1,458803E-5;
4372,3055;5,877093E-6;
4372,0644;-4,981772E-6;
4371,8233;-1,175194E-5;
4371,5822;-8,845174E-6;
4371,3411;-2,563447E-6;
4371,0999;-3,345776E-6;
4370,8588;-8,351766E-6;
4370,6177;-1,007329E-5;
4370,3766;-4,960151E-6;
4370,1355;7,090966E-6;
4369,8944;2,08905E-5;
4369,6533;2,404712E-5;
4369,4122;7,256524E-6;
4369,1711;-1,656353E-5;
4368,9299;-2,435562E-5;
4368,6888;-1,007888E-5;
4368,4477;1,119779E-5;
4368,2066;1,919828E-5;
4367,9655;9,352621E-6;
4367,7244;-8,476098E-6;
4367,4833;-2,100192E-5;
4367,2422;-1,542995E-5;
4367,0011;6,639591E-6;
4366,7599;2,238579E-5;
4366,5188;1,435672E-5;
4366,2777;-2,044482E-6;
4366,0366;-3,978752E-6;
4365,7955;4,666595E-6;
4365,5544;8,560819E-6;
4365,3133;1,993445E-6;
4365,0722;-1,176907E-5;
4364,8311;-2,422418E-5;
4364,5900;-2,477384E-5;
4364,3488;-1,020124E-5;
4364,1077;7,100138E-6;
4363,8666;1,806453E-5;
4363,6255;2,746352E-5;
4363,3844;3,186656E-5;
4363,1433;1,762906E-5;
4362,9022;-1,353436E-5;
4362,6611;-3,658991E-5;
4362,4200;-3,388614E-5;
4362,1788;-1,474747E-5;
4361,9377;7,977811E-6;
4361,6966;2,38422E-5;
4361,4555;2,265077E-5;
4361,2144;1,006286E-5;
4360,9733;-3,581408E-6;
4360,7322;-1,527509E-5;
4360,4911;-2,03678E-5;
4360,2500;-1,405251E-5;
4360,0088;2,07845E-6;
4359,7677;2,010414E-5;
4359,5266;2,891398E-5;
4359,2855;1,958492E-5;
4359,0444;-2,861671E-6;
4358,8033;-2,047569E-5;
4358,5622;-2,484144E-5;
4358,3211;-1,739166E-5;
4358,0800;-1,456603E-6;
4357,8388;9,395335E-6;
4357,5977;4,740345E-6;
4357,3566;-4,014815E-6;
