;test;
Wavenumbers [1/cm];Absorbance;
4498,4065;1,978896E-5;
4498,1654;-1,55597E-5;
4497,9243;-2,815045E-5;
4497,6832;-1,157058E-5;
4497,4421;9,890951E-6;
4497,2010;1,829482E-5;
4496,9598;7,794384E-6;
4496,7187;-1,127232E-5;
4496,4776;-1,499549E-5;
4496,2365;6,764676E-7;
4495,9954;9,206749E-6;
4495,7543;-7,831259E-7;
4495,5132;-7,632909E-6;
4495,2721;2,717847E-6;
4495,0310;1,84602E-5;
4494,7899;2,378264E-5;
4494,5487;1,303652E-5;
4494,3076;-9,171083E-6;
4494,0665;-2,554472E-5;
4493,8254;-2,231527E-5;
4493,5843;-5,854141E-6;
4493,3432;1,151861E-5;
4493,1021;1,759981E-5;
4492,8610;5,710514E-6;
4492,6199;-1,235001E-5;
4492,3787;-1,868721E-5;
4492,1376;-1,022794E-5;
4491,8965;4,669491E-7;
4491,6554;5,584341E-6;
4491,4143;7,246876E-6;
4491,1732;6,113107E-6;
4490,9321;5,089474E-6;
4490,6910;7,993447E-6;
4490,4499;1,019484E-5;
4490,2087;4,46818E-6;
4489,9676;-1,883222E-6;
4489,7265;7,892595E-7;
4489,4854;1,784625E-6;
4489,2443;-4,992449E-6;
4489,0032;-6,764116E-6;
4488,7621;-2,098219E-6;
4488,5210;-2,456043E-6;
4488,2799;-5,814618E-6;
4488,0387;-2,747496E-6;
4487,7976;-3,548048E-7;
4487,5565;-5,127986E-6;
4487,3154;-9,882511E-6;
4487,0743;-1,251631E-5;
4486,8332;-8,681811E-6;
4486,5921;6,485396E-6;
4486,3510;2,076766E-5;
4486,1099;2,205798E-5;
4485,8687;1,345595E-5;
4485,6276;5,088994E-6;
4485,3865;-1,190383E-6;
4485,1454;-9,4758E-6;
4484,9043;-1,60257E-5;
4484,6632;-1,664655E-5;
4484,4221;-8,837516E-6;
4484,1810;7,129936E-6;
4483,9399;1,879039E-5;
4483,6987;1,53265E-5;
4483,4576;-2,055007E-6;
4483,2165;-2,299598E-5;
4482,9754;-3,173923E-5;
4482,7343;-1,770262E-5;
4482,4932;1,451711E-5;
4482,2521;4,114187E-5;
4482,0110;3,808639E-5;
4481,7699;1,302965E-5;
4481,5287;-7,996437E-6;
4481,2876;-1,736932E-5;
4481,0465;-2,065412E-5;
4480,8054;-1,718087E-5;
4480,5643;-6,611088E-6;
4480,3232;2,648179E-6;
4480,0821;6,609989E-6;
4479,8410;1,243782E-5;
4479,5999;1,450125E-5;
4479,3588;-1,198023E-6;
4479,1176;-2,186781E-5;
4478,8765;-2,307965E-5;
4478,6354;-5,9503E-6;
4478,3943;1,543541E-5;
4478,1532;3,442763E-5;
4477,9121;3,490389E-5;
4477,6710;4,753914E-6;
4477,4299;-2,787059E-5;
4477,1888;-2,791277E-5;
4476,9476;-3,860987E-7;
4476,7065;2,221886E-5;
4476,4654;1,565617E-5;
4476,2243;-1,430768E-5;
4475,9832;-3,78527E-5;
4475,7421;-2,900793E-5;
4475,5010;5,773436E-6;
4475,2599;3,191568E-5;
4475,0188;2,621909E-5;
4474,7776;-1,253E-6;
4474,5365;-2,083292E-5;
4474,2954;-1,38959E-5;
4474,0543;6,758019E-6;
4473,8132;1,717007E-5;
4473,5721;8,611038E-6;
4473,3310;-1,002423E-5;
4473,0899;-1,84131E-5;
4472,8488;-7,640832E-6;
4472,6076;8,974443E-6;
4472,3665;1,752702E-5;
4472,1254;1,651925E-5;
4471,8843;9,345335E-6;
4471,6432;-3,46767E-6;
4471,4021;-1,747182E-5;
4471,1610;-2,220455E-5;
4470,9199;-1,332424E-5;
4470,6788;2,756424E-6;
4470,4376;1,244472E-5;
4470,1965;1,05607E-5;
4469,9554;5,520276E-6;
4469,7143;2,366236E-6;
4469,4732;5,644179E-7;
4469,2321;-3,518435E-7;
4468,9910;-6,516078E-6;
