;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,02169906;
4499,3710;0,02168734;
4499,1298;0,02170902;
4498,8887;0,02173104;
4498,6476;0,02174282;
4498,4065;0,0217557;
4498,1654;0,02174342;
4497,9243;0,02169819;
4497,6832;0,02166404;
4497,4421;0,02165879;
4497,2010;0,02166908;
4496,9598;0,02169044;
4496,7187;0,02169332;
4496,4776;0,02164198;
4496,2365;0,02156349;
4495,9954;0,0215152;
4495,7543;0,02151177;
4495,5132;0,02153669;
4495,2721;0,02157075;
4495,0310;0,02160307;
4494,7899;0,02162122;
4494,5487;0,02159902;
4494,3076;0,02156727;
4494,0665;0,02157543;
4493,8254;0,02159142;
4493,5843;0,0216022;
4493,3432;0,02165153;
4493,1021;0,02170148;
4492,8610;0,02167898;
4492,6199;0,02162426;
4492,3787;0,02161477;
4492,1376;0,02163433;
4491,8965;0,02162951;
4491,6554;0,02160043;
4491,4143;0,02157736;
4491,1732;0,02156273;
4490,9321;0,02155388;
4490,6910;0,02154298;
4490,4499;0,02150451;
4490,2087;0,02147435;
4489,9676;0,02150976;
4489,7265;0,02155307;
4489,4854;0,02150935;
4489,2443;0,02142202;
4489,0032;0,02141887;
4488,7621;0,0215084;
4488,5210;0,02157233;
4488,2799;0,02155111;
4488,0387;0,02150255;
4487,7976;0,02148711;
4487,5565;0,02149728;
4487,3154;0,02151863;
4487,0743;0,02155829;
4486,8332;0,02158737;
4486,5921;0,02156384;
4486,3510;0,02151025;
4486,1099;0,02148482;
4485,8687;0,02151689;
4485,6276;0,02157796;
4485,3865;0,02158533;
4485,1454;0,02150976;
4484,9043;0,02142839;
4484,6632;0,0214072;
4484,4221;0,02142531;
4484,1810;0,02143192;
4483,9399;0,02142689;
4483,6987;0,02144307;
4483,4576;0,02146877;
4483,2165;0,02146701;
4482,9754;0,02144653;
4482,7343;0,02146858;
4482,4932;0,02153098;
4482,2521;0,02155519;
4482,0110;0,02153038;
4481,7699;0,02148172;
4481,5287;0,02142735;
4481,2876;0,02141988;
4481,0465;0,02146102;
4480,8054;0,02148066;
4480,5643;0,02145096;
4480,3232;0,02142316;
4480,0821;0,02144386;
4479,8410;0,02150264;
4479,5999;0,02152407;
4479,3588;0,02145988;
4479,1176;0,02140475;
4478,8765;0,02140247;
4478,6354;0,02136962;
4478,3943;0,02133892;
4478,1532;0,02137106;
4477,9121;0,02139127;
4477,6710;0,02138093;
4477,4299;0,02140342;
4477,1888;0,02143559;
4476,9476;0,02145354;
4476,7065;0,02146483;
4476,4654;0,02143402;
4476,2243;0,02140005;
4475,9832;0,02140873;
4475,7421;0,02141191;
4475,5010;0,02141009;
4475,2599;0,02142259;
4475,0188;0,02142034;
4474,7776;0,02140718;
4474,5365;0,02139668;
4474,2954;0,02138713;
4474,0543;0,02138637;
4473,8132;0,0213988;
4473,5721;0,02141634;
4473,3310;0,02141465;
4473,0899;0,0214038;
4472,8488;0,02143908;
4472,6076;0,02148866;
4472,3665;0,02146219;
4472,1254;0,02139972;
4471,8843;0,02140209;
4471,6432;0,02143448;
4471,4021;0,02140911;
4471,1610;0,02134039;
4470,9199;0,02130219;
4470,6788;0,02131546;
4470,4376;0,0213278;
4470,1965;0,02132079;
4469,9554;0,02131576;
4469,7143;0,02130448;
4469,4732;0,02131609;
4469,2321;0,02136484;
4468,9910;0,02138129;
4468,7499;0,0213812;
4468,5088;0,0214221;
4468,2676;0,02142882;
4468,0265;0,02136019;
4467,7854;0,02130453;
4467,5443;0,02130564;
4467,3032;0,02132389;
4467,0621;0,0213296;
4466,8210;0,02133881;
4466,5799;0,02135769;
4466,3388;0,02135842;
4466,0977;0,02135078;
4465,8565;0,02137395;
4465,6154;0,02140998;
4465,3743;0,02139872;
4465,1332;0,02135888;
4464,8921;0,02134858;
4464,6510;0,02133702;
4464,4099;0,02129303;
4464,1688;0,0212441;
4463,9277;0,02121539;
4463,6865;0,02123703;
4463,4454;0,0212855;
4463,2043;0,02128841;
4462,9632;0,021241;
4462,7221;0,02120623;
4462,4810;0,0212587;
4462,2399;0,02136911;
4461,9988;0,02138819;
4461,7577;0,02128882;
4461,5165;0,02120865;
4461,2754;0,0212245;
4461,0343;0,02130004;
4460,7932;0,02135222;
4460,5521;0,02132702;
4460,3110;0,02126935;
4460,0699;0,02123613;
4459,8288;0,02123012;
4459,5877;0,02125372;
4459,3465;0,02128403;
4459,1054;0,02129366;
4458,8643;0,02128819;
4458,6232;0,0212426;
4458,3821;0,02116462;
4458,1410;0,02112725;
4457,8999;0,0211407;
4457,6588;0,02116033;
4457,4177;0,02117995;
4457,1765;0,02119465;
4456,9354;0,02117606;
4456,6943;0,02113372;
4456,4532;0,02111842;
4456,2121;0,02115875;
4455,9710;0,02122135;
4455,7299;0,021256;
4455,4888;0,02127036;
4455,2477;0,02128694;
4455,0065;0,02127987;
4454,7654;0,02125013;
4454,5243;0,02123627;
4454,2832;0,02121999;
4454,0421;0,02117533;
4453,8010;0,02113733;
4453,5599;0,02113921;
4453,3188;0,02117756;
4453,0777;0,02120275;
4452,8365;0,02116804;
4452,5954;0,02110233;
4452,3543;0,02105657;
4452,1132;0,02104932;
4451,8721;0,02106521;
4451,6310;0,02106564;
4451,3899;0,02104953;
4451,1488;0,02106239;
4450,9077;0,02112198;
4450,6666;0,02118729;
4450,4254;0,02121251;
4450,1843;0,02119473;
4449,9432;0,02115973;
4449,7021;0,0211272;
4449,4610;0,0211076;
4449,2199;0,02111135;
4448,9788;0,02112236;
4448,7377;0,02111535;
4448,4966;0,02110804;
4448,2554;0,02112285;
4448,0143;0,02114366;
4447,7732;0,02114875;
4447,5321;0,02113774;
4447,2910;0,02112845;
4447,0499;0,02112845;
4446,8088;0,02112372;
4446,5677;0,02113342;
4446,3266;0,02118095;
4446,0854;0,02119995;
4445,8443;0,02113711;
4445,6032;0,02107119;
4445,3621;0,02105627;
4445,1210;0,02105679;
4444,8799;0,02106592;
4444,6388;0,0210754;
4444,3977;0,02107578;
4444,1566;0,02108695;
4443,9154;0,02109874;
4443,6743;0,02110619;
4443,4332;0,02111956;
4443,1921;0,02113513;
4442,9510;0,02115388;
4442,7099;0,02114948;
4442,4688;0,02109937;
4442,2277;0,02104595;
4441,9866;0,02103692;
4441,7454;0,02106861;
4441,5043;0,02110257;
4441,2632;0,02111021;
4441,0221;0,02109869;
4440,7810;0,02108988;
4440,5399;0,02109195;
4440,2988;0,02107502;
4440,0577;0,02101916;
4439,8166;0,02098525;
4439,5754;0,02101348;
4439,3343;0,02105116;
4439,0932;0,02104692;
4438,8521;0,02101013;
4438,6110;0,02099661;
4438,3699;0,0210291;
4438,1288;0,02103945;
4437,8877;0,02101342;
4437,6466;0,02102421;
4437,4055;0,02106809;
4437,1643;0,02110323;
4436,9232;0,02112537;
4436,6821;0,0210966;
4436,4410;0,02101435;
4436,1999;0,02097161;
4435,9588;0,02099337;
4435,7177;0,02101391;
4435,4766;0,02102872;
4435,2355;0,02105304;
4434,9943;0,02104567;
4434,7532;0,02099478;
4434,5121;0,02095827;
