;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,4033988;
4499,3710;0,4033709;
4499,1298;0,4032742;
4498,8887;0,4032198;
4498,6476;0,4032777;
4498,4065;0,4033444;
4498,1654;0,4033658;
4497,9243;0,4033502;
4497,6832;0,4032718;
4497,4421;0,4031906;
4497,2010;0,4031744;
4496,9598;0,4031853;
4496,7187;0,4031932;
4496,4776;0,4032109;
4496,2365;0,4032459;
4495,9954;0,4032624;
4495,7543;0,403227;
4495,5132;0,4032016;
4495,2721;0,4032363;
4495,0310;0,4032564;
4494,7899;0,4032114;
4494,5487;0,4031615;
4494,3076;0,403157;
4494,0665;0,4031968;
4493,8254;0,4032521;
4493,5843;0,403276;
4493,3432;0,4032535;
4493,1021;0,4032206;
4492,8610;0,4031903;
4492,6199;0,4031712;
4492,3787;0,4032352;
4492,1376;0,4033496;
4491,8965;0,4033487;
4491,6554;0,4032326;
4491,4143;0,4031405;
4491,1732;0,4030916;
4490,9321;0,4030745;
4490,6910;0,4031291;
4490,4499;0,4032017;
4490,2087;0,4032008;
4489,9676;0,4031475;
4489,7265;0,4031065;
4489,4854;0,4030845;
4489,2443;0,4030793;
4489,0032;0,403135;
4488,7621;0,4032193;
4488,5210;0,4032162;
4488,2799;0,4031379;
4488,0387;0,4030748;
4487,7976;0,4030342;
4487,5565;0,4030272;
4487,3154;0,4030645;
4487,0743;0,4030688;
4486,8332;0,4030081;
4486,5921;0,4029514;
4486,3510;0,4029383;
4486,1099;0,4029892;
4485,8687;0,403113;
4485,6276;0,4031885;
4485,3865;0,4031294;
4485,1454;0,4030593;
4484,9043;0,4030592;
4484,6632;0,4030669;
4484,4221;0,40304;
4484,1810;0,4029822;
4483,9399;0,4028994;
4483,6987;0,4028186;
4483,4576;0,4028164;
4483,2165;0,4029053;
4482,9754;0,4029467;
4482,7343;0,4028827;
4482,4932;0,402857;
4482,2521;0,4029148;
4482,0110;0,4029345;
4481,7699;0,4029143;
4481,5287;0,4029254;
4481,2876;0,4029474;
4481,0465;0,4029464;
4480,8054;0,4029144;
4480,5643;0,4028642;
4480,3232;0,4028329;
4480,0821;0,4028389;
4479,8410;0,4028501;
4479,5999;0,4028358;
4479,3588;0,402813;
4479,1176;0,4028072;
4478,8765;0,4028137;
4478,6354;0,402783;
4478,3943;0,4027124;
4478,1532;0,4027044;
4477,9121;0,4027761;
4477,6710;0,4028057;
4477,4299;0,4027572;
4477,1888;0,4027154;
4476,9476;0,4027349;
4476,7065;0,4027881;
4476,4654;0,4028275;
4476,2243;0,4028699;
4475,9832;0,4029091;
4475,7421;0,4028717;
4475,5010;0,4027807;
