;ALPHA_KS_MATRIX7-2;
Wavelength [nm];Intensity;
569,9847;-0,0070434;
570,2258;-0,0073108;
570,4670;-0,0073252;
570,7081;-0,0070427;
570,9492;-0,0067427;
571,1903;-0,0066101;
571,4314;-0,0066592;
571,6725;-0,00677;
571,9136;-0,006817;
572,1547;-0,0068919;
572,3958;-0,0070995;
572,6370;-0,0074657;
572,8781;-0,0079633;
573,1192;-0,0083152;
573,3603;-0,0082795;
573,6014;-0,0081221;
573,8425;-0,0081038;
574,0836;-0,0080389;
574,3247;-0,0079251;
574,5658;-0,0079822;
574,8070;-0,0082035;
575,0481;-0,0084648;
575,2892;-0,0085918;
575,5303;-0,0085129;
575,7714;-0,0083642;
576,0125;-0,0082105;
576,2536;-0,0080038;
576,4947;-0,0078765;
576,7358;-0,0079801;
576,9770;-0,0081441;
577,2181;-0,0082345;
577,4592;-0,0083259;
577,7003;-0,0083257;
577,9414;-0,0080872;
578,1825;-0,0078171;
578,4236;-0,0078303;
578,6647;-0,0079707;
578,9058;-0,0079699;
579,1470;-0,0080182;
579,3881;-0,0083192;
579,6292;-0,0086412;
579,8703;-0,0086096;
580,1114;-0,0082542;
580,3525;-0,0079638;
580,5936;-0,0079009;
580,8347;-0,0079916;
581,0758;-0,0080934;
581,3170;-0,0080803;
581,5581;-0,0080548;
581,7992;-0,0080161;
582,0403;-0,0079037;
582,2814;-0,0079774;
582,5225;-0,0082565;
582,7636;-0,0084973;
583,0047;-0,0087616;
583,2458;-0,0090214;
583,4870;-0,0089914;
583,7281;-0,0088148;
583,9692;-0,0087795;
584,2103;-0,0087147;
584,4514;-0,0085977;
584,6925;-0,0086634;
584,9336;-0,0088484;
585,1747;-0,0088729;
585,4158;-0,0087036;
585,6570;-0,0086477;
585,8981;-0,0086248;
586,1392;-0,0084882;
586,3803;-0,0085716;
586,6214;-0,0087512;
586,8625;-0,0088107;
587,1036;-0,0090464;
587,3447;-0,0093504;
587,5858;-0,0093329;
587,8270;-0,0091105;
588,0681;-0,0090341;
588,3092;-0,009078;
588,5503;-0,0090119;
588,7914;-0,0089456;
589,0325;-0,0090602;
589,2736;-0,0091875;
589,5147;-0,0092038;
589,7558;-0,0092518;
589,9970;-0,0092514;
590,2381;-0,0089075;
590,4792;-0,0084989;
590,7203;-0,0085456;
590,9614;-0,0087931;
591,2025;-0,008875;
591,4436;-0,0088728;
591,6847;-0,0088173;
591,9258;-0,008762;
592,1670;-0,0087997;
592,4081;-0,0088943;
592,6492;-0,0089891;
592,8903;-0,0090708;
593,1314;-0,0091086;
593,3725;-0,0090921;
593,6136;-0,0091486;
593,8547;-0,009253;
594,0958;-0,0092578;
594,3369;-0,009189;
594,5781;-0,0091192;
594,8192;-0,0090183;
595,0603;-0,0088558;
595,3014;-0,0087738;
595,5425;-0,0088042;
595,7836;-0,0088347;
596,0247;-0,0089119;
596,2658;-0,0090548;
596,5069;-0,0092136;
596,7481;-0,0093263;
596,9892;-0,0093301;
597,2303;-0,0093102;
597,4714;-0,0093067;
597,7125;-0,0092363;
597,9536;-0,0091685;
598,1947;-0,0091871;
598,4358;-0,0091863;
598,6769;-0,0091489;
598,9181;-0,0091402;
599,1592;-0,0091502;
599,4003;-0,0092228;
599,6414;-0,009329;
599,8825;-0,0093229;
600,1236;-0,0092341;
600,3647;-0,0092021;
600,6058;-0,0091912;
600,8469;-0,0091456;
601,0881;-0,0091415;
601,3292;-0,0091947;
601,5703;-0,0091814;
601,8114;-0,0090518;
602,0525;-0,0090073;
602,2936;-0,0091579;
602,5347;-0,0092898;
602,7758;-0,0092526;
603,0169;-0,0091258;
603,2581;-0,0090451;
603,4992;-0,009086;
603,7403;-0,0091752;
603,9814;-0,0091603;
604,2225;-0,0090776;
