;ALPHA_KS_MATRIX7-2;
604,4636;-0,0090885;
604,7047;-0,0091413;
604,9458;-0,0091117;
605,1869;-0,009048;
605,4281;-0,0090165;
605,6692;-0,0090178;
605,9103;-0,0090641;
606,1514;-0,0091626;
606,3925;-0,009269;
606,6336;-0,0092943;
606,8747;-0,0092529;
607,1158;-0,0092531;
607,3569;-0,0092168;
607,5981;-0,0090431;
607,8392;-0,0088737;
608,0803;-0,0088628;
608,3214;-0,0089817;
608,5625;-0,0090109;
608,8036;-0,0088497;
609,0447;-0,0087415;
609,2858;-0,0088022;
609,5269;-0,0088386;
609,7681;-0,0087855;
610,0092;-0,0087732;
610,2503;-0,008858;
610,4914;-0,0089612;
610,7325;-0,0089584;
610,9736;-0,0088717;
611,2147;-0,0088798;
611,4558;-0,0089598;
611,6969;-0,008912;
611,9381;-0,0087711;
612,1792;-0,0087418;
612,4203;-0,0088485;
612,6614;-0,00893;
612,9025;-0,0089342;
613,1436;-0,0090065;
613,3847;-0,0091701;
613,6258;-0,0092707;
613,8669;-0,009231;
614,1081;-0,009046;
614,3492;-0,0087765;
614,5903;-0,0085906;
614,8314;-0,0086135;
615,0725;-0,0088011;
615,3136;-0,0089675;
615,5547;-0,0089634;
615,7958;-0,0088368;
616,0369;-0,0087273;
616,2781;-0,0086774;
616,5192;-0,0086595;
616,7603;-0,008721;
617,0014;-0,0089052;
617,2425;-0,0090359;
617,4836;-0,0089757;
617,7247;-0,008905;
617,9658;-0,0089263;
618,2069;-0,0089089;
618,4480;-0,0087811;
618,6892;-0,0086424;
618,9303;-0,0086658;
619,1714;-0,0087771;
619,4125;-0,0087376;
619,6536;-0,0086311;
619,8947;-0,0086774;
620,1358;-0,0087859;
620,3769;-0,0088204;
620,6180;-0,0088337;
620,8592;-0,0088004;
621,1003;-0,0086931;
621,3414;-0,0086216;
621,5825;-0,0086408;
621,8236;-0,0087024;
622,0647;-0,0087285;
622,3058;-0,0087037;
622,5469;-0,0086391;
622,7880;-0,0085172;
623,0292;-0,0084227;
623,2703;-0,0084341;
623,5114;-0,0084703;
623,7525;-0,0084624;
623,9936;-0,0084587;
624,2347;-0,0084853;
624,4758;-0,0085284;
624,7169;-0,0085682;
624,9580;-0,0085535;
625,1992;-0,0085652;
625,4403;-0,0087469;
625,6814;-0,0089816;
625,9225;-0,0090411;
626,1636;-0,0089285;
626,4047;-0,0088175;
626,6458;-0,0087624;
626,8869;-0,0086632;
627,1280;-0,0085763;
627,3692;-0,0086613;
627,6103;-0,008787;
627,8514;-0,0087493;
628,0925;-0,0086234;
628,3336;-0,008524;
628,5747;-0,0084515;
628,8158;-0,0084101;
629,0569;-0,0084007;
629,2980;-0,0083824;
629,5392;-0,0084059;
629,7803;-0,00853;
630,0214;-0,008558;
630,2625;-0,0083767;
630,5036;-0,0082262;
630,7447;-0,0082701;
630,9858;-0,0083397;
631,2269;-0,0083327;
631,4680;-0,008391;
631,7092;-0,008488;
631,9503;-0,0085728;
632,1914;-0,0086621;
632,4325;-0,0086197;
632,6736;-0,0084583;
632,9147;-0,008219;
633,1558;-0,0078626;
633,3969;-0,0075962;
633,6380;-0,0078033;
633,8792;-0,0084455;
634,1203;-0,0088631;
634,3614;-0,008756;
634,6025;-0,0084692;
634,8436;-0,0083179;
635,0847;-0,0083815;
635,3258;-0,0085253;
635,5669;-0,0085921;
635,8080;-0,0085137;
636,0492;-0,0083282;
636,2903;-0,0081337;
636,5314;-0,0080741;
636,7725;-0,0083021;
637,0136;-0,0085961;
637,2547;-0,0086441;
637,4958;-0,0085157;
637,7369;-0,0083902;
637,9780;-0,0083382;
638,2192;-0,0083624;
638,4603;-0,0084337;
638,7014;-0,0084736;
638,9425;-0,0084396;
639,1836;-0,008395;
639,4247;-0,0084014;
639,6658;-0,0084114;
639,9069;-0,0083542;
640,1480;-0,0083059;
640,3892;-0,0083586;
640,6303;-0,0084839;
640,8714;-0,0085865;
641,1125;-0,0085856;
641,3536;-0,0085135;
641,5947;-0,0084217;
641,8358;-0,0083249;
642,0769;-0,0082696;
642,3180;-0,00828;
642,5591;-0,0083527;
642,8003;-0,0084521;
643,0414;-0,0084658;
643,2825;-0,0083996;
643,5236;-0,0083823;
643,7647;-0,0083785;
644,0058;-0,0083201;
644,2469;-0,0082599;
644,4880;-0,0082299;
644,7291;-0,0082263;
644,9703;-0,0082506;
645,2114;-0,008292;
645,4525;-0,0083535;
645,6936;-0,0084384;
645,9347;-0,0084628;
646,1758;-0,0083771;
646,4169;-0,0082916;
646,6580;-0,0082835;
646,8991;-0,0083089;
647,1403;-0,0083186;
647,3814;-0,0083288;
647,6225;-0,008359;
647,8636;-0,0083426;
648,1047;-0,0082346;
648,3458;-0,0081224;
648,5869;-0,0080908;
648,8280;-0,0081147;
649,0691;-0,0081551;
649,3103;-0,0081945;
649,5514;-0,0082315;
649,7925;-0,0083053;
650,0336;-0,0083986;
650,2747;-0,0084038;
650,5158;-0,0082915;
650,7569;-0,0081941;
650,9980;-0,0082089;
651,2391;-0,0082301;
651,4803;-0,0081716;
651,7214;-0,0081523;
651,9625;-0,0082468;
652,2036;-0,0083594;
652,4447;-0,0084221;
652,6858;-0,0084323;
652,9269;-0,0084003;
653,1680;-0,0083671;
653,4091;-0,0083541;
653,6503;-0,008362;
653,8914;-0,0084138;
654,1325;-0,008477;
654,3736;-0,008475;
654,6147;-0,0084029;
654,8558;-0,0083226;
655,0969;-0,0083175;
655,3380;-0,0083985;
655,5791;-0,0084499;
655,8203;-0,0083919;
656,0614;-0,0082965;
656,3025;-0,0082734;
656,5436;-0,0083099;
656,7847;-0,008342;
657,0258;-0,0083609;
657,2669;-0,0083835;
657,5080;-0,0084319;
657,7491;-0,0084785;
657,9903;-0,008461;
658,2314;-0,0084156;
658,4725;-0,0084515;
658,7136;-0,0085657;
658,9547;-0,0086635;
659,1958;-0,0086862;
659,4369;-0,0086222;
659,6780;-0,0085395;
659,9191;-0,0085027;
660,1603;-0,0084961;
660,4014;-0,0085073;
660,6425;-0,008523;
660,8836;-0,0085213;
661,1247;-0,0085197;
661,3658;-0,0084499;
661,6069;-0,008041;
661,8480;-0,0073813;
662,0891;-0,0071899;
662,3303;-0,0076844;
662,5714;-0,0082032;
662,8125;-0,0083334;
663,0536;-0,0081089;
663,2947;-0,0075654;
663,5358;-0,0070232;
663,7769;-0,0069917;
664,0180;-0,0074873;
664,2591;-0,0080591;
664,5003;-0,0083897;
664,7414;-0,0085189;
664,9825;-0,0085649;
665,2236;-0,008568;
665,4647;-0,0085772;
665,7058;-0,0085894;
665,9469;-0,0085418;
666,1880;-0,0084726;
666,4291;-0,0084908;
666,6702;-0,0085736;
666,9114;-0,0086001;
667,1525;-0,00854;
667,3936;-0,0084272;
667,6347;-0,0082994;
667,8758;-0,0082016;
668,1169;-0,0081833;
668,3580;-0,0083019;
668,5991;-0,008501;
668,8402;-0,0086422;
669,0814;-0,0086788;
669,3225;-0,008642;
669,5636;-0,0085897;
669,8047;-0,0085794;
670,0458;-0,0086009;
670,2869;-0,0086065;
670,5280;-0,0086016;
670,7691;-0,0086298;
671,0102;-0,0086784;
671,2514;-0,0086873;
671,4925;-0,0086627;
671,7336;-0,0086564;
671,9747;-0,008671;
672,2158;-0,0087023;
672,4569;-0,0087318;
672,6980;-0,0087171;
672,9391;-0,0087031;
673,1802;-0,0087436;
673,4214;-0,0087711;
673,6625;-0,0087455;
673,9036;-0,0087434;
674,1447;-0,0087794;
674,3858;-0,0087711;
674,6269;-0,0087046;
674,8680;-0,008635;
675,1091;-0,0085885;
675,3502;-0,0085802;
675,5914;-0,0086264;
675,8325;-0,0086976;
676,0736;-0,0087366;
676,3147;-0,0087217;
676,5558;-0,0086989;
676,7969;-0,0086934;
677,0380;-0,0086754;
677,2791;-0,0086893;
677,5202;-0,008763;
677,7614;-0,0088054;
678,0025;-0,0087905;
678,2436;-0,0087843;
678,4847;-0,0088171;
678,7258;-0,0088603;
678,9669;-0,0088647;
679,2080;-0,0088402;
679,4491;-0,0088167;
679,6902;-0,0087904;
679,9314;-0,0087947;
680,1725;-0,0088449;
680,4136;-0,0088788;
680,6547;-0,0088737;
680,8958;-0,0088639;
681,1369;-0,0088644;
681,3780;-0,0088754;
681,6191;-0,0088905;
681,8602;-0,0089062;
682,1014;-0,0089252;
682,3425;-0,0089406;
682,5836;-0,0089542;
682,8247;-0,0089717;
683,0658;-0,0089932;
683,3069;-0,0090215;
683,5480;-0,0090401;
683,7891;-0,0090427;
684,0302;-0,0090571;
684,2714;-0,0090792;
684,5125;-0,0090715;
684,7536;-0,009051;
684,9947;-0,0090591;
685,2358;-0,0090798;
685,4769;-0,0090844;
685,7180;-0,0090907;
685,9591;-0,0091241;
686,2002;-0,0091641;
686,4414;-0,0091656;
686,6825;-0,0091305;
686,9236;-0,0091011;
687,1647;-0,009098;
687,4058;-0,0091169;
687,6469;-0,0091563;
687,8880;-0,0091884;
688,1291;-0,00917;
688,3702;-0,0091397;
688,6114;-0,0091626;
688,8525;-0,0091986;
689,0936;-0,0091804;
689,3347;-0,0091408;
689,5758;-0,0091542;
689,8169;-0,0092142;
690,0580;-0,0092418;
690,2991;-0,0092161;
690,5402;-0,0092156;
690,7813;-0,0092797;
691,0225;-0,0093346;
691,2636;-0,0093361;
691,5047;-0,0093197;
691,7458;-0,0093093;
691,9869;-0,0093078;
692,2280;-0,0093033;
692,4691;-0,0092897;
692,7102;-0,009311;
692,9513;-0,0093874;
693,1925;-0,0094314;
693,4336;-0,0093925;
693,6747;-0,0093588;
693,9158;-0,009358;
694,1569;-0,0093392;
694,3980;-0,0093333;
694,6391;-0,0093564;
694,8802;-0,0093719;
695,1213;-0,0093817;
695,3625;-0,0093992;
695,6036;-0,0094287;
695,8447;-0,0094683;
696,0858;-0,0095108;
696,3269;-0,0095508;
696,5680;-0,0095724;
696,8091;-0,0095693;
697,0502;-0,0095565;
697,2913;-0,0095367;
697,5325;-0,0095099;
697,7736;-0,0094954;
698,0147;-0,009489;
698,2558;-0,0094647;
698,4969;-0,0094432;
698,7380;-0,0094635;
698,9791;-0,0094854;
699,2202;-0,0094754;
699,4613;-0,0094989;
699,7025;-0,0095743;
699,9436;-0,0096201;
700,1847;-0,0096077;
700,4258;-0,0095973;
700,6669;-0,0096098;
700,9080;-0,0096103;
701,1491;-0,009599;
701,3902;-0,0095969;
701,6313;-0,0096032;
701,8725;-0,0096091;
702,1136;-0,0096151;
702,3547;-0,009632;
702,5958;-0,0096563;
702,8369;-0,0096807;
703,0780;-0,0097046;
703,3191;-0,0097361;
703,5602;-0,0097734;
703,8013;-0,0097623;
704,0425;-0,0096708;
704,2836;-0,0095492;
704,5247;-0,0094946;
704,7658;-0,0096105;
705,0069;-0,0098351;
705,2480;-0,0099335;
705,4891;-0,0098564;
705,7302;-0,0097771;
705,9713;-0,0097937;
706,2125;-0,009876;
706,4536;-0,0099291;
706,6947;-0,009889;
706,9358;-0,0098138;
707,1769;-0,0098064;
707,4180;-0,0098752;
707,6591;-0,0099188;
707,9002;-0,0098987;
708,1413;-0,009886;
708,3825;-0,0099013;
708,6236;-0,0099108;
708,8647;-0,0098919;
709,1058;-0,0098375;
709,3469;-0,0098022;
709,5880;-0,0098765;
709,8291;-0,0099998;
710,0702;-0,010019;
710,3113;-0,0099623;
710,5525;-0,0099245;
710,7936;-0,0099391;
711,0347;-0,01003;
711,2758;-0,010114;
711,5169;-0,010102;
711,7580;-0,010078;
711,9991;-0,010087;
712,2402;-0,010068;
712,4813;-0,010036;
712,7225;-0,010085;
712,9636;-0,010191;
713,2047;-0,010236;
713,4458;-0,010206;
713,6869;-0,01016;
713,9280;-0,010144;
714,1691;-0,010153;
714,4102;-0,010138;
714,6513;-0,010129;
714,8924;-0,010148;
715,1336;-0,010098;
715,3747;-0,0099849;
715,6158;-0,0099494;
715,8569;-0,010026;
716,0980;-0,010111;
716,3391;-0,010142;
716,5802;-0,010173;
716,8213;-0,01023;
717,0624;-0,010252;
717,3036;-0,010213;
717,5447;-0,010156;
717,7858;-0,010149;
718,0269;-0,010206;
718,2680;-0,010241;
718,5091;-0,010192;
718,7502;-0,010127;
718,9913;-0,010119;
719,2324;-0,010137;
719,4736;-0,010167;
719,7147;-0,010224;
719,9558;-0,010246;
720,1969;-0,010199;
720,4380;-0,01015;
720,6791;-0,010137;
720,9202;-0,010163;
721,1613;-0,010205;
721,4024;-0,010227;
721,6436;-0,010231;
721,8847;-0,010242;
722,1258;-0,010256;
722,3669;-0,010251;
722,6080;-0,010241;
722,8491;-0,010253;
723,0902;-0,010272;
723,3313;-0,010285;
723,5724;-0,010297;
723,8136;-0,01031;
724,0547;-0,010329;
724,2958;-0,010336;
724,5369;-0,010313;
724,7780;-0,010292;
725,0191;-0,010293;
725,2602;-0,010307;
725,5013;-0,010347;
725,7424;-0,010385;
725,9836;-0,010377;
726,2247;-0,010335;
726,4658;-0,010308;
726,7069;-0,010325;
726,9480;-0,010345;
727,1891;-0,010352;
727,4302;-0,010384;
727,6713;-0,010432;
727,9124;-0,010434;
728,1536;-0,010385;
728,3947;-0,010354;
728,6358;-0,010368;
728,8769;-0,01038;
729,1180;-0,010378;
729,3591;-0,01038;
729,6002;-0,010382;
729,8413;-0,010381;
730,0824;-0,010379;
730,3236;-0,010372;
730,5647;-0,010374;
730,8058;-0,010399;
731,0469;-0,010429;
731,2880;-0,01044;
731,5291;-0,010444;
731,7702;-0,01047;
732,0113;-0,010502;
732,2524;-0,010506;
732,4936;-0,010482;
732,7347;-0,010452;
732,9758;-0,01043;
733,2169;-0,01042;
733,4580;-0,010424;
733,6991;-0,010444;
733,9402;-0,010468;
734,1813;-0,010467;
734,4224;-0,010425;
734,6636;-0,010389;
734,9047;-0,01042;
735,1458;-0,010483;
735,3869;-0,010519;
735,6280;-0,010545;
735,8691;-0,010549;
736,1102;-0,010506;
736,3513;-0,010462;
736,5924;-0,010456;
736,8336;-0,010476;
737,0747;-0,010504;
737,3158;-0,010522;
737,5569;-0,010516;
737,7980;-0,010503;
738,0391;-0,010499;
738,2802;-0,010476;
738,5213;-0,010421;
738,7624;-0,01039;
739,0035;-0,010419;
739,2447;-0,010476;
739,4858;-0,010526;
739,7269;-0,010556;
739,9680;-0,010549;
740,2091;-0,010505;
740,4502;-0,01048;
740,6913;-0,010507;
740,9324;-0,010549;
741,1735;-0,010561;
741,4147;-0,010548;
741,6558;-0,010527;
741,8969;-0,010515;
742,1380;-0,010522;
742,3791;-0,010529;
742,6202;-0,01052;
742,8613;-0,010512;
743,1024;-0,010515;
743,3435;-0,010515;
743,5847;-0,010512;
743,8258;-0,010512;
744,0669;-0,010508;
744,3080;-0,010492;
744,5491;-0,010466;
744,7902;-0,010459;
745,0313;-0,010473;
745,2724;-0,010474;
745,5135;-0,010462;
745,7547;-0,010435;
745,9958;-0,010404;
746,2369;-0,010421;
746,4780;-0,010488;
746,7191;-0,010534;
746,9602;-0,010538;
747,2013;-0,010538;
747,4424;-0,010541;
747,6835;-0,01052;
747,9247;-0,01047;
748,1658;-0,010444;
748,4069;-0,010462;
748,6480;-0,010484;
748,8891;-0,010486;
749,1302;-0,010487;
749,3713;-0,010497;
749,6124;-0,010511;
749,8535;-0,010511;
750,0947;-0,010491;
750,3358;-0,010482;
750,5769;-0,010496;
750,8180;-0,010498;
751,0591;-0,010484;
751,3002;-0,010469;
751,5413;-0,010451;
751,7824;-0,010441;
752,0235;-0,010445;
752,2647;-0,010439;
752,5058;-0,01043;
752,7469;-0,010455;
752,9880;-0,010501;
753,2291;-0,010515;
753,4702;-0,010504;
753,7113;-0,010497;
753,9524;-0,010484;
754,1935;-0,010454;
754,4347;-0,010423;
754,6758;-0,010414;
754,9169;-0,010436;
755,1580;-0,010465;
755,3991;-0,010467;
755,6402;-0,010457;
755,8813;-0,010462;
756,1224;-0,010472;
756,3635;-0,010472;
756,6047;-0,01047;
756,8458;-0,01048;
757,0869;-0,01048;
757,3280;-0,010452;
757,5691;-0,010408;
757,8102;-0,010381;
758,0513;-0,010403;
758,2924;-0,010458;
758,5335;-0,010489;
758,7747;-0,010487;
759,0158;-0,010466;
759,2569;-0,010421;
759,4980;-0,010378;
759,7391;-0,010363;
759,9802;-0,010373;
760,2213;-0,010397;
760,4624;-0,010399;
760,7035;-0,010374;
760,9447;-0,010349;
761,1858;-0,010327;
761,4269;-0,010318;
761,6680;-0,010324;
761,9091;-0,010325;
762,1502;-0,010319;
762,3913;-0,010314;
762,6324;-0,010303;
762,8735;-0,010276;
763,1146;-0,010256;
763,3558;-0,010271;
763,5969;-0,010302;
763,8380;-0,010317;
764,0791;-0,010309;
764,3202;-0,010284;
764,5613;-0,010259;
764,8024;-0,010256;
765,0435;-0,010263;
765,2846;-0,010244;
765,5258;-0,010202;
765,7669;-0,010177;
766,0080;-0,010185;
766,2491;-0,0102;
766,4902;-0,010211;
766,7313;-0,01021;
766,9724;-0,01018;
767,2135;-0,010145;
767,4546;-0,010132;
767,6958;-0,010138;
767,9369;-0,010154;
768,1780;-0,010168;
768,4191;-0,010167;
768,6602;-0,010171;
768,9013;-0,010193;
769,1424;-0,010188;
769,3835;-0,010156;
769,6246;-0,010143;
769,8658;-0,010135;
770,1069;-0,010125;
770,3480;-0,010148;
770,5891;-0,010183;
770,8302;-0,010178;
771,0713;-0,010148;
771,3124;-0,010145;
771,5535;-0,010186;
771,7946;-0,010217;
772,0358;-0,010189;
772,2769;-0,010141;
772,5180;-0,01013;
772,7591;-0,010129;
773,0002;-0,010121;
773,2413;-0,010126;
773,4824;-0,010126;
773,7235;-0,010109;
773,9646;-0,01011;
774,2058;-0,010132;
774,4469;-0,010122;
774,6880;-0,010067;
774,9291;-0,010022;
775,1702;-0,010022;
775,4113;-0,010051;
775,6524;-0,010068;
775,8935;-0,010052;
776,1346;-0,010048;
776,3758;-0,010078;
776,6169;-0,010094;
776,8580;-0,010078;
777,0991;-0,01006;
777,3402;-0,010055;
777,5813;-0,01005;
777,8224;-0,010035;
778,0635;-0,010027;
778,3046;-0,010037;
778,5458;-0,010047;
778,7869;-0,010047;
779,0280;-0,010059;
779,2691;-0,010075;
779,5102;-0,010058;
779,7513;-0,010019;
779,9924;-0,010001;
780,2335;-0,010008;
780,4746;-0,010018;
780,7158;-0,010018;
780,9569;-0,0099991;
781,1980;-0,009978;
781,4391;-0,009985;
781,6802;-0,010013;
781,9213;-0,010025;
782,1624;-0,010001;
782,4035;-0,0099589;
782,6446;-0,0099275;
782,8858;-0,009924;
783,1269;-0,0099577;
783,3680;-0,0099907;
783,6091;-0,0099739;
783,8502;-0,0099391;
784,0913;-0,0099354;
784,3324;-0,0099536;
784,5735;-0,0099385;
784,8146;-0,009842;
785,0558;-0,0096694;
785,2969;-0,0094924;
785,5380;-0,0094482;
785,7791;-0,009578;
786,0202;-0,0097586;
786,2613;-0,0098893;
786,5024;-0,0099431;
786,7435;-0,0099258;
786,9846;-0,009885;
787,2257;-0,0098702;
787,4669;-0,009882;
787,7080;-0,0098875;
787,9491;-0,0098767;
788,1902;-0,0098607;
788,4313;-0,009841;
788,6724;-0,0098132;
788,9135;-0,0097934;
789,1546;-0,0097894;
789,3957;-0,0097712;
789,6369;-0,0097307;
789,8780;-0,0097029;
790,1191;-0,0097295;
790,3602;-0,0098094;
790,6013;-0,0098691;
790,8424;-0,0098548;
791,0835;-0,009785;
791,3246;-0,0096912;
791,5657;-0,0096355;
791,8069;-0,0096564;
792,0480;-0,0096948;
792,2891;-0,0096869;
792,5302;-0,0096448;
792,7713;-0,0096228;
793,0124;-0,0096101;
793,2535;-0,0095069;
793,4946;-0,0090685;
793,7357;-0,0079521;
793,9769;-0,0060056;
794,2180;-0,0036523;
794,4591;-0,0025148;
794,7002;-0,0040051;
794,9413;-0,0067762;
795,1824;-0,0085884;
795,4235;-0,0092264;
795,6646;-0,0094336;
795,9057;-0,0094775;
796,1469;-0,0093963;
796,3880;-0,0093064;
796,6291;-0,0093187;
796,8702;-0,0093999;
797,1113;-0,009474;
797,3524;-0,0095258;
797,5935;-0,0095446;
797,8346;-0,0095262;
798,0757;-0,0095199;
798,3169;-0,0095586;
798,5580;-0,0095843;
798,7991;-0,0095551;
799,0402;-0,0095207;
799,2813;-0,0095309;
799,5224;-0,0095611;
799,7635;-0,0095598;
800,0046;-0,0095267;
800,2457;-0,0095089;
800,4869;-0,0095165;
800,7280;-0,0095192;
800,9691;-0,0095106;
801,2102;-0,00949;
801,4513;-0,0094527;
801,6924;-0,0094201;
801,9335;-0,0094213;
802,1746;-0,0094438;
802,4157;-0,0094386;
802,6569;-0,0094006;
802,8980;-0,0093703;
803,1391;-0,0093555;
803,3802;-0,0093336;
803,6213;-0,0093017;
803,8624;-0,0092768;
804,1035;-0,0092795;
804,3446;-0,0093174;
804,5857;-0,0093554;
804,8269;-0,0093459;
805,0680;-0,0093024;
805,3091;-0,0092719;
805,5502;-0,0092582;
805,7913;-0,0092524;
806,0324;-0,0092494;
806,2735;-0,0092235;
806,5146;-0,0091728;
806,7557;-0,0091246;
806,9969;-0,0090746;
807,2380;-0,0089775;
807,4791;-0,0088197;
807,7202;-0,0086435;
807,9613;-0,0085179;
808,2024;-0,0085152;
808,4435;-0,0086144;
808,6846;-0,0087184;
808,9257;-0,0087913;
809,1669;-0,0088559;
809,4080;-0,0089152;
809,6491;-0,0089504;
809,8902;-0,0089581;
810,1313;-0,0089507;
810,3724;-0,0089415;
810,6135;-0,0089382;
810,8546;-0,0089306;
811,0957;-0,0089022;
811,3368;-0,0088784;
811,5780;-0,008895;
811,8191;-0,008923;
812,0602;-0,0089322;
812,3013;-0,0089305;
812,5424;-0,0089265;
812,7835;-0,0089398;
813,0246;-0,0089547;
813,2657;-0,0089249;
813,5068;-0,0088764;
813,7480;-0,0088692;
813,9891;-0,008888;
814,2302;-0,0088905;
814,4713;-0,0088778;
814,7124;-0,0088613;
814,9535;-0,0088521;
815,1946;-0,0088414;
815,4357;-0,0088155;
815,6768;-0,0087993;
815,9180;-0,0088082;
816,1591;-0,0088266;
816,4002;-0,0088442;
816,6413;-0,0088621;
816,8824;-0,008865;
817,1235;-0,0088416;
817,3646;-0,0088136;
817,6057;-0,0087899;
817,8468;-0,0087758;
818,0880;-0,0087794;
818,3291;-0,008776;
818,5702;-0,0087493;
818,8113;-0,0087156;
819,0524;-0,0086927;
819,2935;-0,0086817;
819,5346;-0,0086672;
819,7757;-0,0086523;
820,0168;-0,0086592;
820,2580;-0,0086736;
820,4991;-0,0086635;
820,7402;-0,0086301;
820,9813;-0,0086031;
821,2224;-0,0086174;
821,4635;-0,0086477;
821,7046;-0,0086352;
821,9457;-0,0085993;
822,1868;-0,0085789;
822,4280;-0,0085565;
822,6691;-0,0085354;
822,9102;-0,0085477;
823,1513;-0,0085653;
823,3924;-0,0085405;
823,6335;-0,0084976;
823,8746;-0,0084858;
824,1157;-0,0085053;
824,3568;-0,0085376;
824,5980;-0,0085641;
824,8391;-0,0085442;
825,0802;-0,0084821;
825,3213;-0,0084437;
825,5624;-0,0084517;
825,8035;-0,0084737;
826,0446;-0,008483;
826,2857;-0,0084755;
826,5268;-0,0084562;
826,7680;-0,0084327;
827,0091;-0,0084158;
827,2502;-0,0084076;
827,4913;-0,0084029;
827,7324;-0,0083868;
827,9735;-0,0083479;
828,2146;-0,0083143;
828,4557;-0,0083023;
828,6968;-0,0082846;
828,9380;-0,0082585;
829,1791;-0,0082509;
829,4202;-0,0082598;
829,6613;-0,0082764;
829,9024;-0,0082985;
830,1435;-0,0082974;
830,3846;-0,0082633;
830,6257;-0,008233;
830,8668;-0,0082296;
831,1080;-0,0082379;
831,3491;-0,0082182;
831,5902;-0,0081577;
831,8313;-0,0081127;
832,0724;-0,0081261;
832,3135;-0,0081528;
832,5546;-0,0081503;
832,7957;-0,00814;
833,0368;-0,0081351;
833,2780;-0,0081332;
833,5191;-0,0081482;
833,7602;-0,0081667;
834,0013;-0,0081607;
834,2424;-0,0081341;
834,4835;-0,0080964;
834,7246;-0,0080581;
834,9657;-0,0080378;
