;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,04373386;
4499,3710;0,04365328;
4499,1298;0,04360969;
4498,8887;0,04359575;
4498,6476;0,04360686;
4498,4065;0,04361667;
4498,1654;0,04359946;
4497,9243;0,04360657;
4497,6832;0,04367197;
4497,4421;0,04373919;
4497,2010;0,04373958;
4496,9598;0,04367165;
4496,7187;0,04361957;
4496,4776;0,04363404;
4496,2365;0,04367826;
4495,9954;0,04370079;
4495,7543;0,04366719;
4495,5132;0,04361453;
4495,2721;0,04360722;
4495,0310;0,04364165;
4494,7899;0,04369153;
4494,5487;0,04372023;
4494,3076;0,04366039;
4494,0665;0,04353887;
4493,8254;0,04348614;
4493,5843;0,04354657;
4493,3432;0,04364192;
4493,1021;0,04368578;
4492,8610;0,04366856;
4492,6199;0,04362199;
4492,3787;0,04356007;
4492,1376;0,0435319;
4491,8965;0,04356927;
4491,6554;0,04363159;
4491,4143;0,04366678;
4491,1732;0,04362863;
4490,9321;0,04355003;
4490,6910;0,04350896;
4490,4499;0,04349555;
4490,2087;0,04348626;
4489,9676;0,04349335;
4489,7265;0,04349345;
4489,4854;0,04347267;
4489,2443;0,0434831;
4489,0032;0,04353273;
4488,7621;0,04356267;
4488,5210;0,04356156;
4488,2799;0,0435515;
4488,0387;0,04353609;
4487,7976;0,04353207;
4487,5565;0,04355659;
4487,3154;0,04358336;
4487,0743;0,04358852;
4486,8332;0,04359265;
4486,5921;0,04360465;
4486,3510;0,04362416;
4486,1099;0,04364863;
4485,8687;0,04365199;
4485,6276;0,04363327;
4485,3865;0,0435978;
4485,1454;0,04354042;
4484,9043;0,04350244;
4484,6632;0,04351465;
4484,4221;0,04355082;
4484,1810;0,04357571;
4483,9399;0,04356416;
4483,6987;0,04352659;
4483,4576;0,04349346;
4483,2165;0,04347315;
4482,9754;0,04346185;
4482,7343;0,04345124;
4482,4932;0,04346116;
4482,2521;0,04349219;
4482,0110;0,04349896;
4481,7699;0,04347286;
4481,5287;0,04343905;
4481,2876;0,04345171;
4481,0465;0,04351067;
4480,8054;0,04350752;
4480,5643;0,04343961;
4480,3232;0,04342379;
4480,0821;0,04347577;
4479,8410;0,04350606;
4479,5999;0,04347552;
4479,3588;0,04345097;
4479,1176;0,04345778;
4478,8765;0,04344233;
4478,6354;0,04343286;
4478,3943;0,04350578;
4478,1532;0,04360438;
4477,9121;0,04360082;
4477,6710;0,04352768;
4477,4299;0,04349479;
4477,1888;0,04348275;
4476,9476;0,04345846;
4476,7065;0,04344103;
4476,4654;0,04341197;
4476,2243;0,04337621;
4475,9832;0,04337691;
4475,7421;0,0434227;
4475,5010;0,04348429;
4475,2599;0,04351452;
4475,0188;0,04349529;
4474,7776;0,04344973;
4474,5365;0,04340548;
4474,2954;0,04340119;
4474,0543;0,04344413;
4473,8132;0,0434675;
4473,5721;0,04342802;
4473,3310;0,04337412;
4473,0899;0,04336164;
4472,8488;0,04338285;
4472,6076;0,0434071;
4472,3665;0,04341783;
4472,1254;0,04342098;
4471,8843;0,04345335;
4471,6432;0,04349401;
4471,4021;0,04346953;
4471,1610;0,04339599;
4470,9199;0,04333963;
4470,6788;0,04332109;
4470,4376;0,04334215;
4470,1965;0,04340043;
4469,9554;0,04345327;
4469,7143;0,04344812;
4469,4732;0,0434087;
4469,2321;0,04337005;
4468,9910;0,04333298;
4468,7499;0,04332333;
4468,5088;0,04333341;
4468,2676;0,0433328;
4468,0265;0,04333409;
4467,7854;0,04333339;
4467,5443;0,04331682;
4467,3032;0,04331292;
4467,0621;0,043332;
4466,8210;0,04333004;
4466,5799;0,04329643;
4466,3388;0,04329489;
4466,0977;0,04334164;
4465,8565;0,04335868;
4465,6154;0,04333091;
4465,3743;0,04331694;
4465,1332;0,04331931;
4464,8921;0,04332078;
4464,6510;0,04332958;
4464,4099;0,04335175;
4464,1688;0,04338745;
4463,9277;0,04340615;
4463,6865;0,04337382;
4463,4454;0,04331099;
4463,2043;0,04324793;
4462,9632;0,04320081;
4462,7221;0,04320026;
4462,4810;0,04325069;
4462,2399;0,04330848;
4461,9988;0,04334262;
4461,7577;0,04335539;
4461,5165;0,04333473;
4461,2754;0,04327185;
4461,0343;0,043206;
4460,7932;0,04318661;
4460,5521;0,04324434;
4460,3110;0,04334304;
4460,0699;0,04337393;
4459,8288;0,04331886;
4459,5877;0,04326533;
4459,3465;0,04325468;
4459,1054;0,04326724;
4458,8643;0,04327121;
4458,6232;0,04327106;
4458,3821;0,04331331;
4458,1410;0,04338102;
4457,8999;0,04341298;
4457,6588;0,04341524;
4457,4177;0,04341583;
4457,1765;0,04339315;
4456,9354;0,04333033;
4456,6943;0,04326947;
4456,4532;0,04324884;
4456,2121;0,0432608;
4455,9710;0,04329754;
4455,7299;0,04335772;
4455,4888;0,04340992;
4455,2477;0,04339107;
4455,0065;0,04330488;
4454,7654;0,04323969;
4454,5243;0,0432218;
4454,2832;0,04321992;
4454,0421;0,0432274;
4453,8010;0,04322873;
4453,5599;0,04320303;
4453,3188;0,04317219;
4453,0777;0,04317756;
4452,8365;0,04322013;
4452,5954;0,04325775;
4452,3543;0,04325556;
4452,1132;0,04322755;
4451,8721;0,04319927;
4451,6310;0,04317738;
4451,3899;0,04318365;
4451,1488;0,04322841;
4450,9077;0,04327759;
4450,6666;0,04330443;
4450,4254;0,04333377;
4450,1843;0,04336546;
4449,9432;0,04333165;
4449,7021;0,04325353;
4449,4610;0,04321637;
4449,2199;0,04320012;
4448,9788;0,04319854;
4448,7377;0,04323215;
4448,4966;0,04323886;
4448,2554;0,04323216;
4448,0143;0,0432726;
4447,7732;0,04329469;
4447,5321;0,04326459;
4447,2910;0,04323075;
4447,0499;0,04318208;
4446,8088;0,04313155;
4446,5677;0,04315076;
4446,3266;0,0432299;
4446,0854;0,04329282;
4445,8443;0,04330551;
4445,6032;0,04327884;
4445,3621;0,04324138;
4445,1210;0,04322486;
4444,8799;0,04322813;
4444,6388;0,04320513;
4444,3977;0,04314556;
4444,1566;0,04310971;
4443,9154;0,04312453;
4443,6743;0,04316827;
4443,4332;0,04320833;
4443,1921;0,0432058;
4442,9510;0,04318168;
4442,7099;0,04316571;
4442,4688;0,04313565;
4442,2277;0,04311951;
4441,9866;0,04315281;
4441,7454;0,04316037;
4441,5043;0,04311147;
4441,2632;0,04309193;
4441,0221;0,04310011;
4440,7810;0,0430822;
4440,5399;0,04307231;
4440,2988;0,04309305;
4440,0577;0,04310734;
4439,8166;0,043109;
4439,5754;0,043118;
4439,3343;0,04313415;
4439,0932;0,04316165;
4438,8521;0,04318055;
4438,6110;0,0431558;
4438,3699;0,04311782;
4438,1288;0,04311623;
4437,8877;0,04316061;
4437,6466;0,04321197;
4437,4055;0,04321549;
4437,1643;0,04318625;
4436,9232;0,04317133;
4436,6821;0,04314514;
4436,4410;0,0430944;
4436,1999;0,04307891;
4435,9588;0,0430956;
4435,7177;0,04310408;
4435,4766;0,04311656;
4435,2355;0,04313357;
4434,9943;0,04315448;
4434,7532;0,04317506;
4434,5121;0,04316393;
4434,2710;0,04312184;
4434,0299;0,04308156;
4433,7888;0,04304701;
4433,5477;0,04300021;
4433,3066;0,04296324;
4433,0655;0,04294439;
4432,8243;0,04292164;
4432,5832;0,04293069;
4432,3421;0,04300533;
4432,1010;0,04311445;
4431,8599;0,04317853;
4431,6188;0,04314266;
4431,3777;0,04307123;
4431,1366;0,04304782;
4430,8955;0,04306217;
4430,6543;0,04308793;
4430,4132;0,04313202;
4430,1721;0,04319;
4429,9310;0,04323211;
4429,6899;0,04319435;
4429,4488;0,04305306;
4429,2077;0,04291252;
4428,9666;0,04286741;
4428,7255;0,042915;
4428,4843;0,04300846;
4428,2432;0,04305948;
4428,0021;0,04303847;
4427,7610;0,04301512;
4427,5199;0,04302962;
4427,2788;0,04305793;
4427,0377;0,04307113;
4426,7966;0,04307419;
4426,5555;0,04308593;
4426,3143;0,04308469;
4426,0732;0,04304307;
4425,8321;0,04300209;
4425,5910;0,04300654;
4425,3499;0,04302255;
4425,1088;0,04301531;
4424,8677;0,0430216;
4424,6266;0,04306233;
4424,3855;0,04307392;
4424,1443;0,04302598;
4423,9032;0,04297717;
4423,6621;0,04293881;
4423,4210;0,04287789;
4423,1799;0,04284677;
4422,9388;0,0429063;
4422,6977;0,04300306;
4422,4566;0,04303905;
4422,2155;0,04299571;
4421,9744;0,04294028;
4421,7332;0,04292152;
4421,4921;0,04292922;
4421,2510;0,04293595;
4421,0099;0,04291459;
4420,7688;0,04287476;
4420,5277;0,04287075;
4420,2866;0,04292057;
4420,0455;0,04296025;
4419,8044;0,04294803;
4419,5632;0,04294326;
4419,3221;0,04296804;
4419,0810;0,04296646;
4418,8399;0,04294942;
4418,5988;0,04295328;
4418,3577;0,04293786;
4418,1166;0,04289847;
4417,8755;0,04288806;
4417,6344;0,04290856;
4417,3932;0,04294445;
4417,1521;0,04300754;
4416,9110;0,04309412;
4416,6699;0,04315306;
4416,4288;0,04312878;
4416,1877;0,04304564;
4415,9466;0,04297595;
4415,7055;0,04295912;
4415,4644;0,04300436;
4415,2232;0,0430883;
4414,9821;0,04311994;
4414,7410;0,04305279;
4414,4999;0,04298398;
4414,2588;0,04295911;
4414,0177;0,0429289;
4413,7766;0,04289854;
4413,5355;0,04287622;
4413,2944;0,04285673;
4413,0532;0,04287112;
4412,8121;0,04292804;
4412,5710;0,04296596;
4412,3299;0,04292749;
4412,0888;0,04285223;
4411,8477;0,04280231;
4411,6066;0,04281963;
4411,3655;0,04292258;
4411,1244;0,04302169;
4410,8832;0,04302861;
4410,6421;0,04296486;
4410,4010;0,04286853;
4410,1599;0,04278637;
4409,9188;0,04275733;
4409,6777;0,04276144;
4409,4366;0,04278941;
4409,1955;0,04283761;
4408,9544;0,04285488;
4408,7133;0,04281025;
4408,4721;0,04274835;
4408,2310;0,04271231;
4407,9899;0,04269667;
4407,7488;0,04270329;
4407,5077;0,04273414;
4407,2666;0,0427598;
4407,0255;0,04276112;
4406,7844;0,04276601;
4406,5433;0,04279517;
4406,3021;0,04280961;
4406,0610;0,04279436;
4405,8199;0,0427937;
4405,5788;0,04282323;
4405,3377;0,04283781;
4405,0966;0,04281166;
4404,8555;0,04279907;
4404,6144;0,04281782;
4404,3733;0,04281335;
4404,1321;0,04278733;
4403,8910;0,04277688;
4403,6499;0,04277305;
4403,4088;0,04277741;
4403,1677;0,04281568;
4402,9266;0,04285205;
4402,6855;0,04284313;
4402,4444;0,04282411;
4402,2033;0,04283961;
4401,9621;0,0428698;
4401,7210;0,04286534;
4401,4799;0,04285074;
4401,2388;0,04287548;
4400,9977;0,04290863;
4400,7566;0,04291216;
4400,5155;0,04288689;
4400,2744;0,0428253;
4400,0333;0,04274189;
4399,7921;0,0427135;
4399,5510;0,04274593;
4399,3099;0,04274401;
4399,0688;0,04269593;
4398,8277;0,04265048;
4398,5866;0,04262826;
4398,3455;0,04264726;
4398,1044;0,04269769;
4397,8633;0,04273905;
4397,6221;0,04273303;
4397,3810;0,04268643;
4397,1399;0,04264802;
4396,8988;0,04264654;
4396,6577;0,04268203;
4396,4166;0,04273627;
4396,1755;0,04277137;
4395,9344;0,04274568;
4395,6933;0,04268196;
4395,4521;0,042655;
4395,2110;0,04265717;
4394,9699;0,04265792;
4394,7288;0,04270158;
4394,4877;0,0427577;
4394,2466;0,0427352;
4394,0055;0,04266781;
4393,7644;0,04264374;
4393,5233;0,04266858;
4393,2822;0,04268958;
4393,0410;0,04268118;
4392,7999;0,04267783;
4392,5588;0,04267977;
4392,3177;0,04263233;
4392,0766;0,04255035;
4391,8355;0,04252406;
4391,5944;0,04258699;
4391,3533;0,0426774;
4391,1122;0,04272112;
4390,8710;0,04270012;
4390,6299;0,04267783;
4390,3888;0,04270725;
4390,1477;0,04274073;
4389,9066;0,04272762;
4389,6655;0,04269243;
4389,4244;0,04268323;
4389,1833;0,0426961;
4388,9422;0,0426689;
4388,7010;0,04260989;
4388,4599;0,04261477;
4388,2188;0,0426788;
4387,9777;0,04269316;
4387,7366;0,04265208;
4387,4955;0,04263778;
4387,2544;0,04266819;
4387,0133;0,04271832;
4386,7722;0,04276853;
4386,5310;0,04278386;
4386,2899;0,04274249;
4386,0488;0,04266856;
4385,8077;0,04261166;
4385,5666;0,04260828;
4385,3255;0,0426391;
4385,0844;0,04263019;
4384,8433;0,0425593;
4384,6022;0,04249611;
4384,3610;0,04248003;
4384,1199;0,042524;
4383,8788;0,04263747;
4383,6377;0,04270938;
4383,3966;0,04263887;
4383,1555;0,04252972;
4382,9144;0,04251557;
4382,6733;0,04255787;
4382,4322;0,04255501;
4382,1910;0,04252708;
4381,9499;0,04253259;
4381,7088;0,04253276;
4381,4677;0,04250563;
4381,2266;0,04250819;
4380,9855;0,04255078;
4380,7444;0,04258431;
4380,5033;0,04259514;
4380,2622;0,04261019;
4380,0211;0,04260349;
4379,7799;0,0425322;
4379,5388;0,04247364;
4379,2977;0,04249054;
4379,0566;0,04250802;
4378,8155;0,04250214;
4378,5744;0,04253272;
4378,3333;0,04258139;
4378,0922;0,04260638;
4377,8511;0,04264763;
4377,6099;0,0427072;
4377,3688;0,04267672;
4377,1277;0,04253319;
4376,8866;0,04242463;
4376,6455;0,0424368;
4376,4044;0,04248165;
4376,1633;0,04249779;
4375,9222;0,0425291;
4375,6811;0,04256731;
4375,4399;0,04255853;
4375,1988;0,04251354;
4374,9577;0,04246931;
4374,7166;0,04246137;
4374,4755;0,04249679;
4374,2344;0,04253279;
