;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,05815972;
4499,3710;0,05815803;
4499,1298;0,05808473;
4498,8887;0,05799916;
4498,6476;0,05797624;
4498,4065;0,05800378;
4498,1654;0,0580407;
4497,9243;0,05808683;
4497,6832;0,05811844;
4497,4421;0,05810616;
4497,2010;0,05808429;
4496,9598;0,05806497;
4496,7187;0,05803304;
4496,4776;0,05801671;
4496,2365;0,05803455;
4495,9954;0,05803961;
4495,7543;0,05799544;
4495,5132;0,0579542;
4495,2721;0,0579416;
4495,0310;0,05792959;
4494,7899;0,05795988;
4494,5487;0,05803733;
4494,3076;0,05804721;
4494,0665;0,05795743;
4493,8254;0,05789078;
4493,5843;0,05792847;
4493,3432;0,05800739;
4493,1021;0,05803982;
4492,8610;0,05801875;
4492,6199;0,05798866;
4492,3787;0,05795952;
4492,1376;0,05791388;
4491,8965;0,05787845;
4491,6554;0,0579035;
4491,4143;0,05795737;
4491,1732;0,05791959;
4490,9321;0,05779594;
4490,6910;0,05773216;
4490,4499;0,05775336;
4490,2087;0,05777601;
4489,9676;0,05777636;
4489,7265;0,05778047;
4489,4854;0,05779626;
4489,2443;0,05782832;
4489,0032;0,05788747;
4488,7621;0,05792838;
4488,5210;0,05791731;
4488,2799;0,05791237;
4488,0387;0,05792098;
4487,7976;0,05789797;
4487,5565;0,05788738;
4487,3154;0,05792113;
4487,0743;0,05793542;
4486,8332;0,05789439;
4486,5921;0,05784077;
4486,3510;0,05782187;
4486,1099;0,05783891;
4485,8687;0,05786363;
4485,6276;0,05786372;
4485,3865;0,05783737;
4485,1454;0,05781043;
4484,9043;0,05779981;
4484,6632;0,05781282;
4484,4221;0,05782495;
4484,1810;0,05781054;
4483,9399;0,05778151;
4483,6987;0,05774534;
4483,4576;0,0577214;
4483,2165;0,0577295;
4482,9754;0,05772344;
4482,7343;0,05766449;
4482,4932;0,05760014;
4482,2521;0,05756496;
4482,0110;0,05755994;
4481,7699;0,05759644;
4481,5287;0,05763794;
4481,2876;0,05767563;
4481,0465;0,05772175;
4480,8054;0,05772633;
4480,5643;0,05768252;
4480,3232;0,05763238;
4480,0821;0,05761648;
4479,8410;0,05764616;
4479,5999;0,05765964;
4479,3588;0,05762969;
4479,1176;0,05761187;
4478,8765;0,05762402;
4478,6354;0,05762062;
4478,3943;0,05760903;
4478,1532;0,05763528;
4477,9121;0,05766996;
4477,6710;0,05768335;
4477,4299;0,05770224;
4477,1888;0,0577078;
4476,9476;0,05766567;
4476,7065;0,05761855;
4476,4654;0,05760575;
4476,2243;0,05762204;
4475,9832;0,05766939;
4475,7421;0,0577083;
4475,5010;0,05768019;
