;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,06600715;
4499,3710;0,0659634;
4499,1298;0,06592664;
4498,8887;0,06594701;
4498,6476;0,06597958;
4498,4065;0,06597819;
4498,1654;0,06594092;
4497,9243;0,06588868;
4497,6832;0,06586642;
4497,4421;0,06587886;
4497,2010;0,06589088;
4496,9598;0,06587316;
4496,7187;0,06582192;
4496,4776;0,06578927;
4496,2365;0,06580313;
4495,9954;0,0658209;
4495,7543;0,06581762;
4495,5132;0,0658059;
4495,2721;0,06578758;
4495,0310;0,06576608;
4494,7899;0,06578273;
4494,5487;0,06586253;
4494,3076;0,0659299;
4494,0665;0,06590217;
4493,8254;0,06582502;
4493,5843;0,06577789;
4493,3432;0,06575545;
4493,1021;0,0657213;
4492,8610;0,06567429;
4492,6199;0,06565351;
4492,3787;0,06567547;
4492,1376;0,06570422;
4491,8965;0,065725;
4491,6554;0,065736;
4491,4143;0,06572774;
4491,1732;0,06571407;
4490,9321;0,06569046;
4490,6910;0,06566215;
4490,4499;0,065672;
4490,2087;0,06569453;
4489,9676;0,06565665;
4489,7265;0,06558562;
4489,4854;0,06555913;
4489,2443;0,06557851;
4489,0032;0,0656001;
4488,7621;0,06559706;
4488,5210;0,06558622;
4488,2799;0,0656144;
4488,0387;0,06567845;
4487,7976;0,06571031;
4487,5565;0,06567314;
4487,3154;0,06560796;
4487,0743;0,06555901;
4486,8332;0,06552797;
4486,5921;0,06552174;
4486,3510;0,06556229;
4486,1099;0,06561434;
4485,8687;0,06560992;
4485,6276;0,06558273;
4485,3865;0,06559353;
4485,1454;0,06561109;
4484,9043;0,06561172;
4484,6632;0,06560582;
4484,4221;0,06559155;
4484,1810;0,06557216;
4483,9399;0,06555588;
4483,6987;0,06554871;
4483,4576;0,06553561;
4483,2165;0,06551097;
4482,9754;0,06548938;
4482,7343;0,06546783;
4482,4932;0,06545711;
4482,2521;0,0654631;
4482,0110;0,06546551;
4481,7699;0,06548773;
4481,5287;0,06552646;
4481,2876;0,06552906;
4481,0465;0,06552192;
4480,8054;0,06553417;
