;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,007443937;
4499,3710;0,007388403;
4499,1298;0,007377239;
4498,8887;0,007416287;
4498,6476;0,007466136;
4498,4065;0,007474774;
4498,1654;0,007430006;
4497,9243;0,007387297;
4497,6832;0,007410125;
4497,4421;0,007484228;
4497,2010;0,007539063;
4496,9598;0,007541092;
4496,7187;0,007502453;
4496,4776;0,007465241;
4496,2365;0,007478698;
4495,9954;0,007492419;
4495,7543;0,007444147;
4495,5132;0,007386665;
4495,2721;0,007358203;
4495,0310;0,007368261;
4494,7899;0,007432455;
4494,5487;0,007508485;
4494,3076;0,007550679;
4494,0665;0,007554024;
4493,8254;0,007554604;
4493,5843;0,007573306;
4493,3432;0,007555104;
4493,1021;0,007477144;
4492,8610;0,007391957;
4492,6199;0,007339932;
4492,3787;0,007338484;
4492,1376;0,007403464;
4491,8965;0,007484439;
4491,6554;0,007484808;
4491,4143;0,007415919;
4491,1732;0,007370815;
4490,9321;0,007395275;
4490,6910;0,007464161;
4490,4499;0,007501505;
4490,2087;0,007470165;
4489,9676;0,007419394;
4489,7265;0,007402884;
4489,4854;0,007414444;
4489,2443;0,007413443;
4489,0032;0,007386033;
4488,7621;0,007364127;
4488,5210;0,007372526;
4488,2799;0,007404175;
4488,0387;0,007442225;
4487,7976;0,007460948;
4487,5565;0,007453022;
4487,3154;0,007440724;
4487,0743;0,00742395;
4486,8332;0,007395117;
4486,5921;0,007380372;
4486,3510;0,007387139;
4486,1099;0,007387349;
4485,8687;0,007379213;
4485,6276;0,007382689;
4485,3865;0,007412996;
4485,1454;0,007459737;
4484,9043;0,007474353;
4484,6632;0,00745663;
4484,4221;0,007457604;
4484,1810;0,00748515;
4483,9399;0,007495421;
4483,6987;0,007457999;
4483,4576;0,007390667;
4483,2165;0,007318397;
4482,9754;0,007278146;
4482,7343;0,007315132;
4482,4932;0,007387666;
4482,2521;0,007396434;
4482,0110;0,007339458;
4481,7699;0,007300811;
4481,5287;0,007298758;
4481,2876;0,007298232;
4481,0465;0,007304497;
4480,8054;0,007330744;
4480,5643;0,007363627;
4480,3232;0,007398356;
4480,0821;0,007453891;
4479,8410;0,007510829;
4479,5999;0,007506272;
4479,3588;0,00744046;
4479,1176;0,007391404;
4478,8765;0,007386691;
