;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;0,3534104;
4499,3710;0,3534717;
4499,1298;0,3535273;
4498,8887;0,3535321;
4498,6476;0,353473;
4498,4065;0,3533905;
4498,1654;0,3533316;
4497,9243;0,3533179;
4497,6832;0,3533651;
4497,4421;0,3534183;
4497,2010;0,3534195;
4496,9598;0,3534018;
4496,7187;0,3533779;
4496,4776;0,3533342;
4496,2365;0,3533023;
4495,9954;0,3533019;
4495,7543;0,3532842;
4495,5132;0,3532344;
4495,2721;0,3531969;
4495,0310;0,3531551;
4494,7899;0,3531067;
4494,5487;0,3531002;
4494,3076;0,3531266;
4494,0665;0,3531778;
4493,8254;0,3532558;
4493,5843;0,3532747;
4493,3432;0,3531879;
4493,1021;0,3531035;
4492,8610;0,3530806;
4492,6199;0,3530636;
4492,3787;0,353039;
4492,1376;0,3530217;
4491,8965;0,3530238;
4491,6554;0,353049;
4491,4143;0,353086;
4491,1732;0,3531308;
4490,9321;0,3531346;
4490,6910;0,3530895;
4490,4499;0,3530971;
4490,2087;0,3531709;
4489,9676;0,3531793;
4489,7265;0,3530835;
4489,4854;0,3530233;
4489,2443;0,3530706;
4489,0032;0,353121;
4488,7621;0,3530923;
4488,5210;0,3530346;
4488,2799;0,3530042;
4488,0387;0,3530053;
4487,7976;0,3530469;
4487,5565;0,3531171;
4487,3154;0,3531719;
4487,0743;0,3531361;
4486,8332;0,3529675;
4486,5921;0,3528093;
4486,3510;0,3528143;
4486,1099;0,3528816;
4485,8687;0,3528568;
4485,6276;0,352805;
4485,3865;0,3528262;
4485,1454;0,3528703;
4484,9043;0,3528957;
4484,6632;0,3528881;
4484,4221;0,35283;
4484,1810;0,3527939;
4483,9399;0,3528237;
4483,6987;0,352841;
4483,4576;0,3528208;
4483,2165;0,3528165;
4482,9754;0,3528002;
4482,7343;0,3527419;
4482,4932;0,3527089;
4482,2521;0,3527509;
4482,0110;0,3528306;
4481,7699;0,3528616;
4481,5287;0,3528091;
4481,2876;0,3527457;
4481,0465;0,3527206;
4480,8054;0,3526855;
4480,5643;0,352619;
4480,3232;0,3525742;
4480,0821;0,3525885;
4479,8410;0,3526407;
4479,5999;0,3526585;
4479,3588;0,3525898;
4479,1176;0,3524789;
4478,8765;0,3524238;
4478,6354;0,3524704;
4478,3943;0,3525625;
4478,1532;0,3526411;
4477,9121;0,352726;
4477,6710;0,3527656;
4477,4299;0,3526671;
4477,1888;0,3525346;
4476,9476;0,3524828;
4476,7065;0,3524511;
4476,4654;0,3524121;
4476,2243;0,3524021;
4475,9832;0,3524009;
4475,7421;0,3523436;
4475,5010;0,3522516;
4475,2599;0,3522799;
4475,0188;0,3524786;
4474,7776;0,3526509;
4474,5365;0,3526158;
4474,2954;0,3524455;
4474,0543;0,3523025;
4473,8132;0,3522579;
4473,5721;0,3522931;
4473,3310;0,3523202;
4473,0899;0,3522747;
4472,8488;0,352194;
4472,6076;0,3521765;
4472,3665;0,3522432;
4472,1254;0,3522774;
4471,8843;0,3522305;
4471,6432;0,3522006;
4471,4021;0,352222;
4471,1610;0,3522278;
4470,9199;0,3522117;
4470,6788;0,3521867;
4470,4376;0,3521287;
4470,1965;0,3520892;
4469,9554;0,3521399;
4469,7143;0,3522403;
4469,4732;0,3522774;
4469,2321;0,3522013;
4468,9910;0,3521177;
4468,7499;0,3521262;
4468,5088;0,3521376;
4468,2676;0,35209;
4468,0265;0,3520854;
4467,7854;0,3521303;
4467,5443;0,352127;
4467,3032;0,3520642;
4467,0621;0,3519987;
4466,8210;0,3519782;
4466,5799;0,3519858;
4466,3388;0,3520233;
4466,0977;0,3520986;
4465,8565;0,3520928;
4465,6154;0,3519854;
4465,3743;0,3519501;
4465,1332;0,352016;
4464,8921;0,3520488;
