;test;
Wavenumbers [1/cm];Absorbance;
4499,6121;1,581907;
4499,3710;1,581202;
4499,1298;1,580674;
4498,8887;1,57917;
4498,6476;1,577518;
4498,4065;1,578016;
4498,1654;1,579784;
4497,9243;1,580663;
4497,6832;1,580567;
4497,4421;1,580093;
4497,2010;1,579789;
4496,9598;1,580194;
4496,7187;1,58079;
4496,4776;1,580486;
4496,2365;1,579527;
4495,9954;1,579149;
4495,7543;1,579386;
4495,5132;1,578835;
4495,2721;1,576964;
4495,0310;1,575924;
4494,7899;1,577427;
4494,5487;1,578877;
4494,3076;1,577762;
4494,0665;1,575949;
4493,8254;1,57505;
4493,5843;1,574356;
4493,3432;1,573847;
4493,1021;1,57434;
4492,8610;1,575864;
4492,6199;1,577355;
4492,3787;1,577864;
4492,1376;1,577606;
4491,8965;1,577344;
4491,6554;1,577453;
4491,4143;1,577498;
4491,1732;1,576742;
4490,9321;1,575804;
4490,6910;1,576017;
4490,4499;1,576382;
4490,2087;1,575562;
4489,9676;1,575021;
4489,7265;1,575641;
4489,4854;1,576096;
4489,2443;1,575922;
4489,0032;1,575753;
4488,7621;1,57601;
4488,5210;1,576842;
4488,2799;1,577303;
4488,0387;1,576838;
4487,7976;1,576761;
4487,5565;1,576789;
4487,3154;1,575836;
4487,0743;1,575441;
4486,8332;1,5763;
4486,5921;1,576552;
4486,3510;1,5755;
4486,1099;1,5748;
4485,8687;1,57566;
4485,6276;1,577196;
4485,3865;1,578051;
4485,1454;1,577754;
4484,9043;1,577002;
4484,6632;1,576401;
4484,4221;1,575756;
4484,1810;1,575479;
4483,9399;1,575705;
4483,6987;1,57589;
4483,4576;1,576009;
4483,2165;1,575684;
4482,9754;1,574792;
4482,7343;1,574257;
4482,4932;1,574346;
4482,2521;1,574485;
4482,0110;1,574501;
4481,7699;1,57456;
4481,5287;1,574777;
4481,2876;1,575174;
4481,0465;1,575434;
4480,8054;1,575141;
4480,5643;1,574126;
4480,3232;1,572809;
4480,0821;1,572391;
4479,8410;1,573075;
4479,5999;1,573338;
4479,3588;1,572874;
4479,1176;1,572865;
4478,8765;1,573155;
4478,6354;1,573095;
4478,3943;1,573013;
4478,1532;1,57347;
4477,9121;1,574707;
4477,6710;1,575739;
4477,4299;1,575468;
4477,1888;1,574318;
4476,9476;1,573273;
4476,7065;1,573191;
4476,4654;1,573878;
4476,2243;1,574463;
4475,9832;1,574785;
4475,7421;1,574727;
4475,5010;1,57461;
4475,2599;1,574868;
4475,0188;1,574409;
4474,7776;1,572157;
4474,5365;1,569528;
4474,2954;1,569397;
4474,0543;1,571667;
4473,8132;1,572812;
4473,5721;1,571368;
4473,3310;1,569308;
4473,0899;1,568656;
4472,8488;1,569588;
4472,6076;1,570362;
4472,3665;1,569912;
4472,1254;1,570041;
4471,8843;1,572256;
4471,6432;1,574291;
4471,4021;1,57371;
4471,1610;1,572079;
4470,9199;1,571765;
4470,6788;1,572298;
4470,4376;1,572167;
4470,1965;1,571847;
4469,9554;1,572722;
4469,7143;1,57395;
4469,4732;1,573876;
4469,2321;1,57311;
4468,9910;1,572907;
4468,7499;1,572965;
4468,5088;1,572455;
4468,2676;1,57119;
4468,0265;1,569752;
4467,7854;1,569221;
4467,5443;1,56995;
4467,3032;1,571174;
4467,0621;1,572121;
4466,8210;1,57194;
4466,5799;1,57022;
4466,3388;1,568327;
4466,0977;1,567737;
4465,8565;1,568676;
4465,6154;1,570266;
4465,3743;1,570925;
4465,1332;1,570655;
4464,8921;1,57041;
4464,6510;1,569882;
4464,4099;1,569147;
4464,1688;1,569173;
4463,9277;1,569913;
4463,6865;1,570305;
4463,4454;1,569669;
4463,2043;1,568646;
4462,9632;1,568231;
4462,7221;1,568065;
4462,4810;1,567957;
4462,2399;1,56892;
4461,9988;1,570222;
4461,7577;1,570175;
4461,5165;1,569385;
4461,2754;1,569289;
4461,0343;1,570004;
4460,7932;1,570556;
4460,5521;1,57007;
4460,3110;1,569204;
4460,0699;1,569209;
4459,8288;1,569449;
4459,5877;1,56862;
4459,3465;1,56726;
4459,1054;1,566144;
4458,8643;1,564916;
4458,6232;1,564067;
4458,3821;1,565043;
4458,1410;1,567112;
4457,8999;1,568233;
4457,6588;1,568229;
4457,4177;1,56762;
4457,1765;1,56697;
4456,9354;1,566982;
4456,6943;1,567212;
4456,4532;1,566747;
4456,2121;1,565683;
4455,9710;1,565438;
4455,7299;1,566467;
4455,4888;1,567524;
4455,2477;1,568095;
4455,0065;1,568197;
4454,7654;1,567964;
4454,5243;1,567947;
4454,2832;1,567645;
4454,0421;1,566623;
4453,8010;1,565739;
4453,5599;1,565235;
4453,3188;1,564931;
4453,0777;1,565104;
4452,8365;1,565709;
4452,5954;1,566671;
4452,3543;1,567393;
4452,1132;1,566781;
4451,8721;1,565321;
4451,6310;1,564952;
4451,3899;1,566095;
4451,1488;1,566568;
4450,9077;1,565453;
4450,6666;1,564613;
4450,4254;1,565004;
4450,1843;1,565597;
4449,9432;1,565366;
4449,7021;1,564682;
4449,4610;1,564463;
4449,2199;1,564719;
4448,9788;1,565166;
4448,7377;1,565723;
4448,4966;1,566142;
4448,2554;1,566113;
4448,0143;1,565716;
4447,7732;1,565273;
4447,5321;1,564754;
4447,2910;1,564209;
4447,0499;1,564001;
4446,8088;1,564138;
4446,5677;1,564107;
4446,3266;1,563748;
4446,0854;1,563936;
4445,8443;1,564842;
4445,6032;1,56484;
4445,3621;1,563601;
4445,1210;1,56311;
4444,8799;1,563799;
4444,6388;1,564182;
4444,3977;1,563878;
4444,1566;1,563098;
4443,9154;1,562393;
4443,6743;1,563072;
4443,4332;1,56445;
4443,1921;1,564531;
4442,9510;1,563581;
4442,7099;1,562979;
4442,4688;1,563429;
4442,2277;1,564682;
4441,9866;1,564946;
4441,7454;1,563453;
4441,5043;1,562034;
4441,2632;1,561813;
4441,0221;1,562049;
4440,7810;1,562119;
4440,5399;1,562374;
4440,2988;1,563081;
4440,0577;1,563513;
4439,8166;1,563145;
4439,5754;1,562482;
4439,3343;1,561756;
4439,0932;1,560625;
4438,8521;1,559948;
4438,6110;1,560659;
4438,3699;1,561431;
4438,1288;1,561492;
4437,8877;1,561798;
4437,6466;1,562022;
4437,4055;1,561205;
4437,1643;1,560059;
4436,9232;1,559893;
4436,6821;1,560335;
4436,4410;1,56051;
4436,1999;1,560984;
4435,9588;1,561803;
4435,7177;1,561896;
4435,4766;1,561162;
4435,2355;1,560298;
4434,9943;1,560304;
4434,7532;1,561656;
4434,5121;1,562898;
4434,2710;1,562686;
4434,0299;1,561557;
4433,7888;1,560848;
4433,5477;1,561492;
4433,3066;1,56236;
4433,0655;1,561877;
4432,8243;1,560727;
4432,5832;1,559867;
4432,3421;1,559433;
4432,1010;1,559718;
4431,8599;1,560414;
4431,6188;1,560768;
4431,3777;1,560818;
4431,1366;1,560644;
4430,8955;1,560121;
4430,6543;1,559808;
4430,4132;1,559772;
4430,1721;1,559423;
4429,9310;1,559018;
4429,6899;1,558943;
4429,4488;1,558807;
4429,2077;1,55831;
4428,9666;1,557727;
4428,7255;1,557268;
4428,4843;1,557014;
4428,2432;1,557049;
4428,0021;1,557219;
4427,7610;1,557565;
4427,5199;1,558245;
4427,2788;1,558811;
4427,0377;1,558861;
4426,7966;1,558901;
4426,5555;1,559091;
4426,3143;1,558961;
4426,0732;1,558684;
4425,8321;1,558131;
4425,5910;1,556792;
4425,3499;1,55534;
4425,1088;1,555236;
4424,8677;1,557084;
4424,6266;1,559053;
4424,3855;1,559334;
4424,1443;1,559081;
4423,9032;1,558832;
4423,6621;1,557515;
4423,4210;1,556196;
4423,1799;1,556431;
4422,9388;1,557148;
4422,6977;1,557251;
4422,4566;1,557517;
4422,2155;1,557977;
4421,9744;1,557557;
4421,7332;1,556204;
4421,4921;1,554957;
4421,2510;1,554577;
4421,0099;1,554718;
4420,7688;1,554947;
4420,5277;1,555576;
4420,2866;1,556682;
4420,0455;1,557625;
4419,8044;1,557979;
4419,5632;1,558302;
4419,3221;1,558588;
4419,0810;1,557892;
4418,8399;1,556516;
4418,5988;1,555509;
4418,3577;1,555046;
4418,1166;1,555106;
4417,8755;1,556126;
4417,6344;1,557791;
4417,3932;1,558306;
4417,1521;1,556604;
4416,9110;1,554304;
4416,6699;1,553577;
4416,4288;1,553922;
4416,1877;1,553718;
4415,9466;1,553251;
4415,7055;1,55333;
4415,4644;1,554021;
4415,2232;1,555039;
4414,9821;1,555505;
4414,7410;1,555013;
4414,4999;1,553987;
4414,2588;1,553196;
4414,0177;1,553321;
4413,7766;1,553598;
4413,5355;1,55362;
4413,2944;1,55459;
4413,0532;1,556199;
4412,8121;1,55664;
4412,5710;1,555536;
4412,3299;1,554399;
4412,0888;1,554552;
4411,8477;1,554971;
4411,6066;1,554036;
4411,3655;1,553202;
4411,1244;1,554263;
4410,8832;1,555003;
4410,6421;1,554249;
4410,4010;1,554389;
4410,1599;1,555009;
4409,9188;1,554248;
4409,6777;1,55343;
4409,4366;1,553651;
4409,1955;1,553921;
4408,9544;1,553813;
4408,7133;1,553812;
4408,4721;1,553871;
4408,2310;1,553457;
4407,9899;1,552784;
4407,7488;1,552652;
4407,5077;1,552511;
4407,2666;1,551243;
4407,0255;1,549619;
4406,7844;1,549211;
