;alpha_KS_Matrix7-3sub;
Wavenumbers [1/cm];Absorbance;
4445,3621;-0,002198617;
4445,1210;-0,00215537;
4444,8799;-0,002121411;
4444,6388;-0,002064208;
4444,3977;-0,001982032;
4444,1566;-0,001978983;
4443,9154;-0,002047218;
4443,6743;-0,002067798;
4443,4332;-0,002014977;
4443,1921;-0,001989856;
4442,9510;-0,002052438;
4442,7099;-0,002130065;
4442,4688;-0,002187694;
4442,2277;-0,002227995;
4441,9866;-0,002211978;
4441,7454;-0,002197825;
4441,5043;-0,002220749;
4441,2632;-0,002220602;
4441,0221;-0,002211216;
4440,7810;-0,002225413;
4440,5399;-0,002281871;
4440,2988;-0,002342439;
4440,0577;-0,002316685;
4439,8166;-0,002244849;
4439,5754;-0,002192018;
4439,3343;-0,002140127;
4439,0932;-0,002127881;
4438,8521;-0,002172197;
4438,6110;-0,002200688;
4438,3699;-0,002197005;
4438,1288;-0,002169538;
4437,8877;-0,002129471;
4437,6466;-0,002143302;
4437,4055;-0,002200462;
4437,1643;-0,002253054;
4436,9232;-0,002307623;
4436,6821;-0,002300874;
4436,4410;-0,002197449;
4436,1999;-0,002130383;
4435,9588;-0,002175265;
4435,7177;-0,002234736;
4435,4766;-0,00224185;
4435,2355;-0,002246007;
4434,9943;-0,002300753;
4434,7532;-0,002368875;
4434,5121;-0,002358084;
4434,2710;-0,002242887;
4434,0299;-0,002108766;
4433,7888;-0,002064515;
4433,5477;-0,00212834;
4433,3066;-0,002250304;
4433,0655;-0,002353844;
4432,8243;-0,002364354;
4432,5832;-0,002316153;
4432,3421;-0,002293544;
4432,1010;-0,002314227;
4431,8599;-0,002360385;
4431,6188;-0,002411184;
4431,3777;-0,002458053;
4431,1366;-0,002481968;
4430,8955;-0,002434329;
4430,6543;-0,002336278;
4430,4132;-0,00232396;
4430,1721;-0,002424784;
4429,9310;-0,00246785;
4429,6899;-0,002392479;
4429,4488;-0,002331196;
4429,2077;-0,002340195;
4428,9666;-0,002352512;
4428,7255;-0,002335047;
4428,4843;-0,002335109;
4428,2432;-0,002378492;
4428,0021;-0,002418339;
4427,7610;-0,002442655;
4427,5199;-0,002483563;
4427,2788;-0,002540457;
4427,0377;-0,002588398;
4426,7966;-0,002589265;
4426,5555;-0,002540491;
4426,3143;-0,002468303;
4426,0732;-0,002381523;
4425,8321;-0,002321881;
4425,5910;-0,002303917;
4425,3499;-0,002290879;
4425,1088;-0,002271447;
4424,8677;-0,002265811;
4424,6266;-0,002315245;
4424,3855;-0,002393391;
4424,1443;-0,002429648;
4423,9032;-0,002430079;
4423,6621;-0,002408141;
4423,4210;-0,002369244;
4423,1799;-0,002352794;
4422,9388;-0,002357437;
4422,6977;-0,002347162;
4422,4566;-0,002326488;
4422,2155;-0,002306242;
4421,9744;-0,002267737;
4421,7332;-0,002237058;
4421,4921;-0,002285644;
4421,2510;-0,002405966;
4421,0099;-0,002497592;
4420,7688;-0,002500623;
4420,5277;-0,002465435;
4420,2866;-0,002491124;
4420,0455;-0,002581883;
4419,8044;-0,002612221;
4419,5632;-0,00254526;
4419,3221;-0,002492109;
4419,0810;-0,002513452;
4418,8399;-0,002570978;
4418,5988;-0,002584454;
4418,3577;-0,00252743;
4418,1166;-0,002480282;
4417,8755;-0,00248095;
4417,6344;-0,002504879;
4417,3932;-0,002538424;
4417,1521;-0,002534995;
4416,9110;-0,002522307;
4416,6699;-0,002594432;
4416,4288;-0,00265793;
4416,1877;-0,002574813;
4415,9466;-0,002456183;
4415,7055;-0,002445596;
4415,4644;-0,002514592;
4415,2232;-0,002620179;
4414,9821;-0,002701166;
4414,7410;-0,002680225;
4414,4999;-0,002624151;
4414,2588;-0,00258751;
4414,0177;-0,00254259;
4413,7766;-0,002543901;
4413,5355;-0,002589654;
4413,2944;-0,002581037;
4413,0532;-0,002540557;
4412,8121;-0,002529378;
4412,5710;-0,002513029;
4412,3299;-0,002493954;
4412,0888;-0,002513497;
4411,8477;-0,002525661;
4411,6066;-0,00249816;
4411,3655;-0,002505442;
4411,1244;-0,002567763;
4410,8832;-0,002615624;
4410,6421;-0,002639582;
4410,4010;-0,002651292;
4410,1599;-0,002637869;
4409,9188;-0,002613059;
4409,6777;-0,002588277;
4409,4366;-0,002589859;
4409,1955;-0,002637234;
4408,9544;-0,00267591;
4408,7133;-0,002660744;
4408,4721;-0,002629686;
4408,2310;-0,002615773;
4407,9899;-0,002585214;
4407,7488;-0,002553599;
4407,5077;-0,002569395;
4407,2666;-0,002588579;
4407,0255;-0,002580989;
4406,7844;-0,002590106;
4406,5433;-0,002655989;
4406,3021;-0,002734198;
4406,0610;-0,002709924;
4405,8199;-0,002625149;
4405,5788;-0,002622972;
4405,3377;-0,002668086;
4405,0966;-0,002675541;
4404,8555;-0,002699985;
4404,6144;-0,002766506;
4404,3733;-0,002773286;
4404,1321;-0,002711555;
4403,8910;-0,002683026;
4403,6499;-0,002683747;
4403,4088;-0,002672689;
4403,1677;-0,002677142;
4402,9266;-0,002689254;
4402,6855;-0,002713054;
4402,4444;-0,002772631;
